[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:23:33 --> 00:23:35]  Здесь у нас смесь спецы и соли.
[00:23:35 --> 00:23:39]  Колеги отдельные сделаем ролик, как мы готовим спецы и под колбасы.
[00:23:39 --> 00:23:42]  Потому что там тоже технологически определенный процесс.
[00:23:42 --> 00:23:44]  Там в него можно убиться достаточно глубоко.
[00:23:44 --> 00:23:48]  Но если самый простой вариант колбас можно сделать то, что он порос.
[00:23:48 --> 00:23:50]  И перестам, например, чеснок.
[00:23:50 --> 00:23:55]  Да.
[00:23:55 --> 00:23:56]  Сок.
[00:23:56 --> 00:23:57]  Да. Сок.
[00:23:57 --> 00:23:58]  Иссот.
[00:23:58 --> 00:24:01]  Ну, говоря, мы сейчас немножко более крутой набор.
[00:24:01 --> 00:24:03]  Мы для себя это делаем сами спуши.
[00:24:03 --> 00:24:06]  Поэтому мы мешали чуть более нам крутой.
[00:24:06 --> 00:24:07]  Вот.
[00:24:07 --> 00:24:09]  Одельно мы сделаем гуролик по инитированию.
[00:24:09 --> 00:24:14]  У нас сейчас скоре поступит лабораторию на шновый инъектор Медва,
[00:24:14 --> 00:24:16]  который позволяет не нагревать рассылку.
[00:24:16 --> 00:24:17]  Это смят.
[00:24:17 --> 00:24:18]  Это смят.
[00:24:18 --> 00:24:19]  Сюда это целный кусков.
[00:24:19 --> 00:24:23]  Мы сделаем отдельный ролик по посол цельных кусковых мышечных изделий.
[00:24:23 --> 00:24:27]  Одельно сделаем ролик про натуральные спецы.
[00:24:27 --> 00:24:35]  Максимально чистые, невредные для такие вот кровтовых колбасы и какие существуют в вариации.
[00:24:35 --> 00:24:37]  Сейчас мы уже берем готовые готовые.
[00:24:37 --> 00:24:38]  Считать.
[00:24:38 --> 00:24:39]  Считать.
[00:24:39 --> 00:24:40]  Иссот.
[00:24:40 --> 00:24:44]  Ну, вот каждый раз у вас получался продукт одинакового качества.
[00:24:44 --> 00:24:45]  Так.
[00:24:45 --> 00:24:46]  Все смешиваем.
[00:24:46 --> 00:24:47]  Нам нужна ледяная вода.
[00:24:47 --> 00:24:48]  Холодильники.
[00:24:48 --> 00:24:49]  Принесится.
[00:24:49 --> 00:24:50]  А есть?
[00:24:50 --> 00:24:51]  Да.
[00:24:51 --> 00:24:52]  Я присылаю киству.
[00:24:52 --> 00:24:53]  Чистую ледяную воду.
[00:24:53 --> 00:24:56]  Идеально это когда чешучитый лед.
[00:24:56 --> 00:24:57]  Да?
[00:24:57 --> 00:24:58]  У нас есть возможность.
[00:24:58 --> 00:24:59]  Нет.
[00:24:59 --> 00:25:00]  Нет.
[00:25:00 --> 00:25:01]  Не обязательно.
[00:25:01 --> 00:25:02]  Здесь не обязательно.
[00:25:02 --> 00:25:03]  Чешучит лед.
[00:25:03 --> 00:25:04]  Это или будет.
[00:25:04 --> 00:25:07]  Давайте мы куда-нибудь навеем в стаканческах.
[00:25:07 --> 00:25:08]  Стаканчик налеем.
[00:25:08 --> 00:25:13]  Лед используется уже в более профессиональном оборудовании.
[00:25:13 --> 00:25:18]  Когда уже ставить кутер, начинаете заниматься варенными
[00:25:18 --> 00:25:21]  колбасами с осистками с ордерками.
[00:25:21 --> 00:25:24]  Там лет просто необходимо.
[00:25:24 --> 00:25:27]  Для остужения чаши, то же самое кутера.
[00:25:27 --> 00:25:28]  Не грузите.
[00:25:28 --> 00:25:29]  Не грузите.
[00:25:29 --> 00:25:30]  Не грузите.
[00:25:30 --> 00:25:31]  Все проще.
[00:25:31 --> 00:25:34]  Ваши мест тоже важные истории.
[00:25:34 --> 00:25:38]  Если больше, насколько килограмма, в денье производим колбас,
[00:25:38 --> 00:25:40]  когда нужен нам в прошемес.
[00:25:41 --> 00:25:44]  Если у вас одна загрузка,
[00:25:44 --> 00:25:47]  один вид колбасы,
[00:25:47 --> 00:25:50]  10 килограмма начинается.
[00:25:50 --> 00:25:52]  Важите, что будет.
[00:25:52 --> 00:25:55]  Можно придварить на руках.
[00:25:55 --> 00:25:59]  Да, до 5 килограмма можно перемешать руках.
[00:25:59 --> 00:26:01]  Вот.
[00:26:01 --> 00:26:04]  В прошемеса это тоже отдельная тема.
[00:26:04 --> 00:26:05]  Есть нюансы.
[00:26:05 --> 00:26:06]  Что начинаем?
[00:26:06 --> 00:26:08]  Я бы помешаю.
[00:26:09 --> 00:26:10]  Что можно?
[00:26:10 --> 00:26:11]  Как у меня скажу?
[00:26:11 --> 00:26:12]  Все.
[00:26:12 --> 00:26:13]  Все.
[00:26:13 --> 00:26:15]  Я буду подливать и подсыпать.
[00:26:15 --> 00:26:16]  Все договорились.
[00:26:16 --> 00:26:18]  Я просто мешаю.
[00:26:18 --> 00:26:19]  Просто перемешиваем.
[00:26:19 --> 00:26:22]  Надо выбить эту белок из мяса.
[00:26:22 --> 00:26:24]  Что мы делаем.
[00:26:24 --> 00:26:26]  Зачем мы мешать фарш?
[00:26:26 --> 00:26:28]  Кроме того, что перемешать спецы.
[00:26:28 --> 00:26:30]  У нас мясной белок начинает равном.
[00:26:30 --> 00:26:32]  У нас не было.
[00:26:32 --> 00:26:33]  И перемешиваем.
[00:26:33 --> 00:26:34]  Все сюда.
[00:26:34 --> 00:26:40]  У нас мясной белок начинает работать с солью.
[00:26:40 --> 00:26:42]  Перемешиваем не солью.
[00:26:42 --> 00:26:45]  И фарш начинает склеиваться.
[00:26:45 --> 00:26:48]  Почему колбаса у нас монолитная.
[00:26:48 --> 00:26:51]  Они разваливается как просто вот.
[00:26:51 --> 00:26:53]  Что-то такое рыхлое.
[00:26:53 --> 00:26:56]  И добавляем ледяную воду.
[00:26:56 --> 00:27:00]  Потому что иначе у нас фарш очень быстро монолитится.
[00:27:00 --> 00:27:02]  И перестает перемешиваться.
[00:27:02 --> 00:27:07]  Вода обязательно должна быть холодная температура и помещение.
[00:27:07 --> 00:27:10]  Должна быть до 20 градусов.
[00:27:10 --> 00:27:12]  Наша сработает конеца.
[00:27:12 --> 00:27:19]  И температура самого фарша должна не превышать 10 градусов.
[00:27:19 --> 00:27:22]  Лучше работать в режиме колодильника.
[00:27:22 --> 00:27:24]  Лез два плача 4 плача.
[00:27:24 --> 00:27:32]  Памере того как белок срабатывает.
[00:27:32 --> 00:27:36]  У нас мясо начинает просить все больше большего дизамителя.
[00:27:36 --> 00:27:38]  Как она делается.
[00:27:38 --> 00:27:39]  Рассу.
[00:27:39 --> 00:27:40]  Питается.
[00:27:40 --> 00:27:47]  И чем больше воды у нас возьмет мясо.
[00:27:47 --> 00:27:50]  Тем сочнее будет у нас масса.
[00:27:50 --> 00:27:55]  И можно прям жестко.
[00:27:55 --> 00:27:57]  Пожешь сюда.
[00:27:57 --> 00:27:59]  Паш любит пожёщая.
[00:27:59 --> 00:28:04]  Когда мы сейчас все это перемешаем, мы туда внесём нашу фишку.
[00:28:04 --> 00:28:07]  Котором заморожим, я сейчас лезда.
[00:28:07 --> 00:28:08]  Будешь.
[00:28:08 --> 00:28:09]  Довольно.
[00:28:09 --> 00:28:13]  И сколько по времени так мешает нужно?
[00:28:13 --> 00:28:14]  Да.
[00:28:15 --> 00:28:22]  Посмотрим, какая будет консистенция, чтобы он у нас скрел.
[00:28:22 --> 00:28:24]  Скрыл.
[00:28:24 --> 00:28:27]  Здесь нет.
[00:28:27 --> 00:28:30]  Здесь нет.
[00:28:30 --> 00:28:33]  Но это не 15.
[00:28:33 --> 00:28:35]  Смотрите, что он не был.
[00:28:35 --> 00:28:37]  Пересох.
[00:28:37 --> 00:28:39]  Тёплым.
[00:28:39 --> 00:28:41]  Я уже отсюда.
[00:28:41 --> 00:28:43]  Я вижу, что воды мало.
[00:28:43 --> 00:28:46]  Ну, вообще в среднем.
[00:28:46 --> 00:28:49]  Паш берет процентах 10.
[00:28:49 --> 00:28:51]  Отсупственно, а веса воды.
[00:28:51 --> 00:28:54]  Здесь порядка 5 килограммов.
[00:28:54 --> 00:28:55]  Мясо.
[00:28:55 --> 00:28:58]  Мы можем совершенно спокойно.
[00:28:58 --> 00:29:00]  Допол випроводы.
[00:29:00 --> 00:29:02]  Бо, хорошо.
[00:29:02 --> 00:29:03]  Мне нравится.
[00:29:03 --> 00:29:05]  Можно так вот.
[00:29:05 --> 00:29:06]  Держите.
[00:29:06 --> 00:29:08]  Сейчас я возьму.
[00:29:14 --> 00:29:17]  Мога, кстати, промедлась с немой последнее время.
[00:29:17 --> 00:29:20]  Мы намесили себя оточились.
[00:29:20 --> 00:29:22]  Мы много мясной продукции делаем.
[00:29:22 --> 00:29:24]  Надо бы сейчас прорвить.
[00:29:24 --> 00:29:27]  Вы знаете, я думаю, что мясо,
[00:29:27 --> 00:29:32]  оно более востребованное и конкуренции,
[00:29:32 --> 00:29:33]  поменьше.
[00:29:33 --> 00:29:34]  Потому что рыбы много.
[00:29:34 --> 00:29:36]  Все считают, что рыбы это легко и просто.
[00:29:36 --> 00:29:38]  И начинают с рыбы.
[00:29:38 --> 00:29:41]  И могут закавти, что я у себя дома.
[00:29:41 --> 00:29:43]  И у себя дома надо, что у бочки.
[00:29:43 --> 00:29:45]  И мы уже считаем, что можно это продавать.
[00:29:45 --> 00:29:48]  Это совершенно неправильно.
[00:29:48 --> 00:29:53]  И плюс на мясе гораздо больше рентабельности.
[00:29:53 --> 00:29:55]  Я думаю.
[00:29:55 --> 00:29:56]  Продо его посчитаем.
[00:29:56 --> 00:29:58]  Нарабил в рятое 30 килограммов.
[00:29:58 --> 00:30:00]  30 килограммов.
[00:30:00 --> 00:30:01]  Нарабил.
[00:30:01 --> 00:30:03]  На скуме.
[00:30:03 --> 00:30:04]  На скуме.
[00:30:04 --> 00:30:05]  На скуме.
[00:30:05 --> 00:30:07]  Песи 6,7 рублей.
[00:30:07 --> 00:30:08]  Есть же такой.
[00:30:08 --> 00:30:10]  Ну, как бы да.
[00:30:10 --> 00:30:12]  Сейчас я это все сюда внизу.
[00:30:12 --> 00:30:16]  И надо будет быстренько распределить по всей массе.
[00:30:16 --> 00:30:18]  И сразу вшприйся.
[00:30:18 --> 00:30:19]  Вот у нас 6.
[00:30:19 --> 00:30:22]  Такое, что мы понимаем, что фаршу готов.
[00:30:22 --> 00:30:24]  По каким признакам, как я расскажу.
[00:30:24 --> 00:30:26]  Начинаю с этой вот этой тьи.
[00:30:26 --> 00:30:27]  Он так тянется.
[00:30:27 --> 00:30:29]  Такие вот не тянется.
[00:30:29 --> 00:30:32]  Когда у нас фарш мелкий мы же через мясорк
[00:30:32 --> 00:30:33]  прокрутили.
[00:30:33 --> 00:30:35]  Это наступает быстро.
[00:30:35 --> 00:30:38]  Если мы сделаем крупнокосковые,
[00:30:38 --> 00:30:39]  вечины, допустим,
[00:30:39 --> 00:30:42]  да мы будет можем сделать вечину.
[00:30:42 --> 00:30:45]  Там будет вкус кемяса, как нашошлык.
[00:30:45 --> 00:30:48]  Да, из них долго надо выбивать.
[00:30:48 --> 00:30:50]  Там уже там обязательно мешал кушал.
[00:30:50 --> 00:30:51]  Ваши нет.
[00:30:51 --> 00:30:54]  Конечно, можно сделать без этого всего.
[00:30:54 --> 00:30:56]  Начинать можно так.
[00:30:56 --> 00:30:57]  Давайте добавляем.
[00:30:57 --> 00:30:59]  Высыпайте свои рукой.
[00:31:06 --> 00:31:08]  Так, и это уже перемешиваю.
[00:31:08 --> 00:31:11]  Перемешиваем равномерно по всей массе фаршу.
[00:31:16 --> 00:31:17]  Просто распределяем.
[00:31:17 --> 00:31:19]  Могу чуть-чуть смочить водой,
[00:31:19 --> 00:31:21]  потому что я чувствую, что уже тяжело.
[00:31:24 --> 00:31:26]  Такая монолитная структура становится.
[00:31:26 --> 00:31:27]  Да.
[00:31:27 --> 00:31:29]  Вот это чувствуется.
[00:31:29 --> 00:31:31]  Когда мы еще начнем перекладывать шприц,
[00:31:31 --> 00:31:33]  и он еще больше уплотница.
[00:31:35 --> 00:31:39]  Как нужно или нет?
[00:31:39 --> 00:31:40]  Да, все, наверное.
[00:31:40 --> 00:31:43]  Смотрите, если нет вкусков крупных.
[00:31:43 --> 00:31:44]  Кто можно?
[00:31:44 --> 00:31:45]  Да, все.
[00:31:45 --> 00:31:47]  Все, там что-то летало, и нормально.
[00:31:47 --> 00:31:49]  Нет, что у летала обратно.
[00:31:49 --> 00:31:52]  Все.
[00:31:52 --> 00:31:53]  Достаём.
[00:31:53 --> 00:31:54]  Достаем.
[00:31:54 --> 00:31:55]  Стрец.
[00:31:55 --> 00:31:56]  Старём.
[00:31:56 --> 00:31:57]  Допустим.
[00:31:57 --> 00:31:59]  А я сейчас принесу оболочку.
[00:31:59 --> 00:32:00]  Вкопозим.
[00:32:00 --> 00:32:01]  Это все набивать.
[00:32:01 --> 00:32:03]  Так, тогда я сейчас помойу с пластубку.
[00:32:03 --> 00:32:07]  И настанно шплейц.
[00:32:07 --> 00:32:09]  Я прямо у меня рука замерзла.
[00:32:09 --> 00:32:10]  Прям.
[00:32:28 --> 00:32:29]  Стрец.
[00:32:29 --> 00:32:31]  Пуратно.
[00:32:32 --> 00:32:34]  И вот теперь уже накручиваем.
[00:32:35 --> 00:32:37]  Какой носка выбор?
[00:32:37 --> 00:32:39]  Получается тоненький колбаски, да?
[00:32:39 --> 00:32:41]  Калибор оболочки.
[00:32:41 --> 00:32:43]  Кстати, сейчас я ее помнись у сюда.
[00:32:43 --> 00:32:44]  Это баранящая, да?
[00:32:44 --> 00:32:45]  Нет, свиная.
[00:32:45 --> 00:32:47]  Свина, ну маленькая, такая, да?
[00:32:47 --> 00:32:50]  Будет колебор 3840 миллиметров.
[00:32:50 --> 00:32:52]  Нет, она будет достаточно толстенькая.
[00:32:52 --> 00:32:55]  А, ну да, мы просто так вот трубки набиваем, да?
[00:32:55 --> 00:32:56]  Да.
[00:32:56 --> 00:32:57]  Все, как мы чё добивали?
[00:32:57 --> 00:32:58]  Не, не, не, не.
[00:32:59 --> 00:33:02]  Так, чуть-чуть опускается.
[00:33:02 --> 00:33:06]  И вот теперь прям, что прицута вот здесь, так вот.
[00:33:06 --> 00:33:09]  Стараемся избегать попадание воздуха.
[00:33:09 --> 00:33:13]  Плотнее, по себе, чтобы не было у нас пузырьков.
[00:33:13 --> 00:33:15]  Тором будем.
[00:33:17 --> 00:33:19]  Нет, трамповать-то особо не надо.
[00:33:19 --> 00:33:22]  Да, мы потом вот этим поршним все это.
[00:33:22 --> 00:33:23]  Подтрам будем.
[00:33:23 --> 00:33:24]  Да.
[00:33:24 --> 00:33:26]  Главный поршень сейчас войдет.
[00:33:27 --> 00:33:28]  Дело.
[00:33:28 --> 00:33:32]  Слушаю, ну как бы, плум нас 4,5 килограмма здесь.
[00:33:32 --> 00:33:33]  Да, да.
[00:33:33 --> 00:33:34]  Да, да.
[00:33:34 --> 00:33:35]  Да.
[00:33:35 --> 00:33:36]  Да.
[00:33:36 --> 00:33:37]  Да.
[00:33:37 --> 00:33:38]  Да.
[00:33:38 --> 00:33:39]  Да.
[00:33:39 --> 00:33:40]  Так, тихо.
[00:33:40 --> 00:33:41]  Оболочка.
[00:33:41 --> 00:33:45]  Значит, мы набивать будем наш фарш в натуральную оболочку.
[00:33:45 --> 00:33:48]  Вот такой мы ее предварительно замочили в воде.
[00:33:48 --> 00:33:50]  Буквально на 20 минут.
[00:33:50 --> 00:33:52]  Такой в слегка теплый воде.
[00:33:52 --> 00:33:53]  Она достаточно, да?
[00:33:53 --> 00:33:55]  Она уже, правда, это ее не надо,
[00:33:55 --> 00:33:58]  промывать там до подкраном изнутри.
[00:33:58 --> 00:34:01]  Это ошибочно, если кто-то так делает.
[00:34:01 --> 00:34:02]  Вот.
[00:34:02 --> 00:34:03]  Мы сейчас...
[00:34:03 --> 00:34:05]  Вон что-то готовы на промышленное.
[00:34:05 --> 00:34:07]  Она, конечно, да.
[00:34:07 --> 00:34:09]  Мы на тягиваем оболочку.
[00:34:09 --> 00:34:11]  Калибор 38,4 мм.
[00:34:13 --> 00:34:16]  Их множество видов,
[00:34:16 --> 00:34:20]  Калибров, она бывает свиная, говяжия, баранья и так далее.
[00:34:20 --> 00:34:24]  Случай, если нужно делать халельную продукту,
[00:34:24 --> 00:34:26]  только баранья, да, говяжия.
[00:34:26 --> 00:34:27]  Да, да.
[00:34:27 --> 00:34:30]  Баранья, говяжия, либо не натуральная.
[00:34:30 --> 00:34:32]  Ткологиновая, да?
[00:34:32 --> 00:34:34]  Там тоже много видов.
[00:34:34 --> 00:34:36]  Можно калагенного, можно...
[00:34:36 --> 00:34:39]  Все какие там полиамиды.
[00:34:39 --> 00:34:42]  Так, а с отца, если я пожелась, ставьте при себе.
[00:34:42 --> 00:34:44]  Смотрите, теперь.
[00:34:44 --> 00:34:47]  Ну, тут тоже все делают по-разному,
[00:34:47 --> 00:34:48]  но мы сделаем так.
[00:34:48 --> 00:34:51]  Мы набиваем колбаску, вы смотрите,
[00:34:51 --> 00:34:54]  какого размера она получается,
[00:34:54 --> 00:34:57]  и останавливаете крутить.
[00:34:57 --> 00:34:59]  Сейчас покажу все наглядно.
[00:34:59 --> 00:35:00]  Я кручу.
[00:35:00 --> 00:35:01]  Да.
[00:35:01 --> 00:35:02]  Я могу укултить.
[00:35:02 --> 00:35:03]  Грутить.
[00:35:03 --> 00:35:08]  А я сразу же формирую, можно сильно быстро крутить.
[00:35:10 --> 00:35:12]  Вы видите какая стоп.
[00:35:12 --> 00:35:14]  Вот так, зачем вам больше?
[00:35:14 --> 00:35:15]  Пока останавливается.
[00:35:15 --> 00:35:17]  Да, я же это сам.
[00:35:17 --> 00:35:18]  Чуть-чуть назад.
[00:35:18 --> 00:35:20]  Я ее здесь прерываю.
[00:35:20 --> 00:35:24]  Это мне нужно будет в этот момент
[00:35:24 --> 00:35:26]  для того, чтобы связать ее.
[00:35:26 --> 00:35:29]  Вот она будет примерно такая колбаска.
[00:35:29 --> 00:35:30]  Колбаска есть.
[00:35:30 --> 00:35:31]  Следующая.
[00:35:33 --> 00:35:36]  Вот это на самом деле сейчас всякие фишки,
[00:35:36 --> 00:35:38]  которые они придуманы
[00:35:38 --> 00:35:41]  людьми просто на практике
[00:35:41 --> 00:35:44]  из жизни, для удобства, для всего.
[00:35:44 --> 00:35:47]  Да, да, это такая лайфхать,
[00:35:47 --> 00:35:49]  которые там до этого люди годами
[00:35:49 --> 00:35:51]  доходит до того сложно.
[00:35:51 --> 00:35:53]  А еще ступцены хорошо,
[00:35:53 --> 00:35:54]  прижимать.
[00:35:54 --> 00:35:55]  Да, да.
[00:35:55 --> 00:35:56]  Кать стоп.
[00:35:56 --> 00:35:58]  Да, кого видите какой размер,
[00:35:58 --> 00:35:59]  вы регулируете.
[00:35:59 --> 00:36:00]  Неужели какое-то, что-то?
[00:36:00 --> 00:36:02]  Я ничего больше, тем лучше.
[00:36:02 --> 00:36:03]  Да, хорошо.
[00:36:03 --> 00:36:04]  Поехали дальше.
[00:36:07 --> 00:36:10]  Это женщина, знаешь, что есть предел.
[00:36:10 --> 00:36:11]  Стоп?
[00:36:11 --> 00:36:12]  Да.
[00:36:12 --> 00:36:14]  Каком он на него?
[00:36:14 --> 00:36:15]  Нет.
[00:36:15 --> 00:36:16]  Есть еще.
[00:36:16 --> 00:36:17]  Командный голос.
[00:36:17 --> 00:36:18]  Да, я понимаю.
[00:36:18 --> 00:36:20]  Четка сразу, ясно стоп.
[00:36:20 --> 00:36:21]  Стоп.
[00:36:21 --> 00:36:22]  То ли, веро всеми еда называются.
[00:36:22 --> 00:36:23]  Да, да.
[00:36:23 --> 00:36:24]  Да, да.
[00:36:24 --> 00:36:26]  А зала к тебе сейчас, значит, к тебе очень.
[00:36:28 --> 00:36:31]  Так, все вот эту докру, чё им сейчас.
[00:36:31 --> 00:36:32]  Да, блин, значит, что.
[00:36:32 --> 00:36:34]  Да, вот нужно стоп, стоп, стоп, стоп,
[00:36:34 --> 00:36:36]  может, умальчишек там с рупценку,
[00:36:36 --> 00:36:37]  пойти взять.
[00:36:37 --> 00:36:41]  Чуть назад, чтобы не были зал фарш,
[00:36:41 --> 00:36:43]  так вот это мы уже готовы вязать.
[00:36:47 --> 00:36:48]  Думаю, что я делаю.
[00:36:48 --> 00:36:50]  Кручим дальше.
[00:36:50 --> 00:36:52]  Удом не стало.
[00:36:52 --> 00:36:54]  Вообще это же не выземли, а просто.
[00:36:54 --> 00:36:56]  Может, быстрее это все делать.
[00:36:56 --> 00:36:57]  А все.
[00:36:57 --> 00:36:58]  Значит, набиваем следующую.
[00:36:58 --> 00:36:59]  Это штуков.
[00:36:59 --> 00:37:00]  Так, вот у нас стоит.
[00:37:00 --> 00:37:01]  Я могу поддерживать.
[00:37:01 --> 00:37:02]  Да, держать.
[00:37:02 --> 00:37:03]  И у удобно.
[00:37:03 --> 00:37:04]  Да.
[00:37:04 --> 00:37:05]  Вот.
[00:37:05 --> 00:37:06]  Вот.
[00:37:06 --> 00:37:07]  Вот.
[00:37:07 --> 00:37:08]  Вот.
[00:37:08 --> 00:37:09]  Вот.
[00:37:09 --> 00:37:10]  Вот.
[00:37:10 --> 00:37:11]  Вот.
[00:37:11 --> 00:37:12]  Вот.
[00:37:12 --> 00:37:13]  Вот.
[00:37:13 --> 00:37:14]  Вот.
[00:37:14 --> 00:37:15]  Вот.
[00:37:15 --> 00:37:16]  Вот.
[00:37:16 --> 00:37:17]  Вот.
[00:37:17 --> 00:37:19]  Вот.
[00:37:19 --> 00:37:20]  Фуэн.
[00:37:20 --> 00:37:21]  Нормально.
[00:37:21 --> 00:37:22]  Вот.
[00:37:22 --> 00:37:23]  Я не буду Bitch.
[00:37:23 --> 00:37:24]  — Да.
[00:37:24 --> 00:37:26]  Вот.
[00:37:26 --> 00:37:27]  Ну.
[00:37:27 --> 00:37:28]  Вот.
[00:37:28 --> 00:37:31]  Все.
[00:37:31 --> 00:37:32]  Вот.
[00:37:32 --> 00:37:33]  Немлюда.
[00:37:33 --> 00:37:34]  Вот.
[00:37:34 --> 00:37:35]  Все.
[00:37:35 --> 00:37:36]  А я перен lavorалась.
[00:37:36 --> 00:37:39]  А это гиворга.
[00:37:39 --> 00:37:42]  EL jouт.
[00:37:42 --> 00:37:44]  это он как раз и говорит.
[00:37:44 --> 00:37:49]  Кровянка это супер, но это продукт, который ты сделала сразу должен съесть.
[00:37:49 --> 00:37:52]  Ну что, не пройтись, а не сроки, да?
[00:37:52 --> 00:37:56]  Конечно, конечно, это такой очень домашний продукт.
[00:37:56 --> 00:37:58]  Все влезло, больше не надо.
[00:37:58 --> 00:37:59]  Очень не надо.
[00:37:59 --> 00:38:00]  Отлично.
[00:38:00 --> 00:38:02]  Тимоточку, мать, а тоже первича.
[00:38:02 --> 00:38:03]  Так, это тоже.
[00:38:03 --> 00:38:04]  Да.
[00:38:04 --> 00:38:07]  И еще чуть-чуть оболочечки, берем.
[00:38:12 --> 00:38:19]  Много там еще, а еще пару штук, а еще, да?
[00:38:19 --> 00:38:20]  Пойдем.
[00:38:20 --> 00:38:21]  Еще.
[00:38:21 --> 00:38:25]  А еще знаете, коте, видел, делаю сначала всю.
[00:38:25 --> 00:38:26]  Все, все.
[00:38:26 --> 00:38:27]  Все, все.
[00:38:27 --> 00:38:28]  Стоп, назад.
[00:38:28 --> 00:38:30]  Все, все, все, все.
[00:38:30 --> 00:38:31]  Все, все.
[00:38:31 --> 00:38:33]  Мусто, он выпихивает, а потом перекущивает.
[00:38:33 --> 00:38:35]  Ну, это как, как, как, как, как, как, как, как, как.
[00:38:35 --> 00:38:38]  Можно, но, краковская, вообще, выделя, да, должен обить кольца.
[00:38:38 --> 00:38:39]  А отдельно, да?
[00:38:39 --> 00:38:40]  А отдельно, да?
[00:38:41 --> 00:38:44]  Ну, там есть умельцы, кто может, так, прилавчиться,
[00:38:44 --> 00:38:47]  и его вязать кольцами, стоп, назад.
[00:38:47 --> 00:38:52]  Когда она уже все оболочки, ну, я не знаю.
[00:38:52 --> 00:38:54]  Это... это...
[00:38:54 --> 00:38:57]  Это уже высшей искусства.
[00:38:57 --> 00:38:58]  Ты латажда.
[00:38:58 --> 00:39:01]  А с гетравлической, я же письма, разду, дубний, я работаю.
[00:39:01 --> 00:39:02]  Конечно.
[00:39:02 --> 00:39:03]  Там можно одному.
[00:39:03 --> 00:39:05]  Сейчас, мне здесь нужны обе руки.
[00:39:05 --> 00:39:08]  А так, окрутить ничем.
[00:39:09 --> 00:39:11]  А так я, но уже маю кнопочку, да.
[00:39:11 --> 00:39:15]  Здесь работаю, и причем я регулирую скорость подачи фарша.
[00:39:15 --> 00:39:18]  Ну, значит, начинает плеволочь, чем у нас такой штуки, да?
[00:39:18 --> 00:39:19]  Да.
[00:39:19 --> 00:39:21]  Дравли, когда гидравлички шприз он стоит, там примерно,
[00:39:21 --> 00:39:23]  сколько, там вот так, где есть, наверное, да?
[00:39:23 --> 00:39:26]  Не подскажу подсадом, а наша предснибудь скажу.
[00:39:26 --> 00:39:29]  И сам дорогие французы дадо, есть итальянцы.
[00:39:29 --> 00:39:31]  Вот видите, как это бывает.
[00:39:31 --> 00:39:34]  Дырочки все эти, мы уберем.
[00:39:34 --> 00:39:36]  Андреевая, чего, да?
[00:39:36 --> 00:39:38]  Ну, это или он дает.
[00:39:38 --> 00:39:42]  А на жена туralная, я ее ж не на заводе производит,
[00:39:42 --> 00:39:44]  она выросла в животном.
[00:39:44 --> 00:39:46]  Ну, мы потом на заводе производят.
[00:39:46 --> 00:39:47]  Ну да, давайте.
[00:39:53 --> 00:39:54]  Все, выкручиваю.
[00:39:57 --> 00:39:59]  Здесь то зелого, вы дома разделась.
[00:40:00 --> 00:40:05]  А вот это пальцем делать, да?
[00:40:05 --> 00:40:09]  Да, мы можем это выложить куда-нибудь в такой мисочку.
[00:40:09 --> 00:40:11]  Давайте, вот, федалат.
[00:40:11 --> 00:40:13]  Можно еще даже, да?
[00:40:13 --> 00:40:15]  Так.
[00:40:15 --> 00:40:18]  Вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот, вот.
[00:40:18 --> 00:40:19]  Вот это точно надо делать.
[00:40:19 --> 00:40:21]  Давайте сделаем его шуши.
[00:40:21 --> 00:40:24]  Ушенонтировали, надо сделать.
[00:40:24 --> 00:40:29]  Так.
[00:40:29 --> 00:40:30]  Семочный?
[00:40:30 --> 00:40:33]  Так, вот, так там мы берем вот эту штуку,
[00:40:33 --> 00:40:35]  мы просто сейчас вот сюда это.
[00:40:35 --> 00:40:38]  Добьем сделаем огромную голова сину.
[00:40:38 --> 00:40:41]  Ну, сейчас соединяю еще улетку,
[00:40:41 --> 00:40:43]  сделаем какую-нибудь, вот, знаете?
[00:40:43 --> 00:40:47]  Так, вот, пальцем, это значит, мы сюда все пихаем
[00:40:47 --> 00:40:49]  и проталкиваем.
[00:40:49 --> 00:40:53]  Не очень удобная вороночка.
[00:40:53 --> 00:40:55]  Ну ничего.
[00:40:57 --> 00:41:03]  Ваше смотреть. Если мы делаем порядка 50 килограмм продукции
[00:41:03 --> 00:41:10]  в сортименте в день, а рабочее в дней мы делаем не 30 месяцев.
[00:41:10 --> 00:41:14]  А допустим 20. Так что не напрягаться.
[00:41:14 --> 00:41:18]  При самом-то в легком раскладе.
[00:41:18 --> 00:41:21]  И продаем соответственно.
[00:41:21 --> 00:41:25]  А зарабатываем москилограмма порядка 300 рублей.
[00:41:25 --> 00:41:30]  За месяц мы получим 300 тысяч.
[00:41:30 --> 00:41:37]  То есть в день 30 на 50 килограмм 300 рублей это 15 тысяч.
[00:41:37 --> 00:41:42]  Соответственно, мы нажим на 20 дней, получаем 300 тысяч рублей.
[00:41:42 --> 00:41:48]  Если оттуда убрать все накладные расходы, то остается в среднем и посчитали,
[00:41:48 --> 00:41:51]  что остается чистыми 200 в месяц.
