[00:00:00 --> 00:00:02]  Все поехали.
[00:18:59 --> 00:19:02]  Все ренькие цветы, чтобы не пугать на вот.
[00:19:02 --> 00:19:04]  Вважно с 120.
[00:19:04 --> 00:19:07]  Вот и все.
[00:19:07 --> 00:19:09]  На варке, больше ничего нет.
[00:19:09 --> 00:19:11]  После варки мы делаем сушку.
[00:19:11 --> 00:19:12]  Как мы говорили.
[00:19:12 --> 00:19:13]  Открываем 2.
[00:19:13 --> 00:19:16]  Если есть вода на полу, у нее скрипком быстренько убираем.
[00:19:16 --> 00:19:17]  Мы закрываем обратно.
[00:19:17 --> 00:19:19]  В камеру.
[00:19:19 --> 00:19:20]  Ставляем шаг.
[00:19:20 --> 00:19:21]  После.
[00:19:21 --> 00:19:22]  Звайно.
[00:19:22 --> 00:19:23]  Сушка.
[00:19:23 --> 00:19:24]  Сушка.
[00:19:24 --> 00:19:25]  Сушка.
[00:19:25 --> 00:19:26]  Сушка.
[00:19:26 --> 00:19:27]  Сушка.
[00:19:27 --> 00:19:28]  Сушка.
[00:19:28 --> 00:19:29]  В на шестидести.
[00:19:29 --> 00:19:32]  Камера подихонечку будет температура.
[00:19:32 --> 00:19:33]  В 180-х.
[00:19:33 --> 00:19:34]  В 60.
[00:19:34 --> 00:19:37]  Ваторых, прогревательно практически не будет.
[00:19:37 --> 00:19:38]  Накладен.
[00:19:38 --> 00:19:39]  Ваторых.
[00:19:39 --> 00:19:40]  Ваторых.
[00:19:40 --> 00:19:41]  Они быстро подсушат продуг.
[00:19:41 --> 00:19:44]  Чтобы он был готов к общению.
[00:19:44 --> 00:19:47]  Но здесь предвозьно.
[00:19:47 --> 00:19:52]  После висушки мы светит.
[00:19:52 --> 00:19:55]  У нас идёт и присосить на копчение.
[00:19:55 --> 00:19:56]  Сохранить.
[00:19:56 --> 00:19:58]  Значит, температуру в камень на копчение.
[00:19:58 --> 00:19:59]  Камера.
[00:19:59 --> 00:20:01]  Камера?
[00:20:01 --> 00:20:02]  В на шестидести.
[00:20:02 --> 00:20:10]  как обычно 60 градусов и время у нас при производстве копчона вареного, вареного копчона в
[00:20:10 --> 00:20:14]  отече of a product, то что мы сейчас делаем, копчение может быть немного дольше,
[00:20:14 --> 00:20:19]  потому что прогутки уже прогреты, вот влажность несковыше и цвет может ложиться дольше.
[00:20:19 --> 00:20:25]  В этот момент посмотрите, я также поставляю 30 минут, если ты исти будь не хватает 35.
[00:20:25 --> 00:20:32]  И в общем-то все это программа кура, лептица, да быть, и он за июю.
[00:20:32 --> 00:20:33]  Куда?
[00:20:33 --> 00:20:39]  Мы сначала варим, потом в копчоне, вареного копчона варего.
[00:20:39 --> 00:20:41]  Сахараного.
[00:20:41 --> 00:20:43]  У нас будут появился еще один.
[00:20:43 --> 00:20:47]  И то что я вам говорю, мы сейчас вам сделаем еще на рыбу,
[00:20:47 --> 00:20:52]  варящее ваше, важно, стонкой кожурой, которым мы будем плавно прогревать,
[00:20:52 --> 00:20:57]  для того, чтобы сфеморовать вот сухой мешочек, в котором отариву бы и готовится.
[00:20:57 --> 00:21:04]  Вот значит, начит шаг первую нас, порагая в один, сохранить,
[00:21:04 --> 00:21:11]  ащем бероту он с первой 3-5, по времени 5 минут, сохранить.
[00:21:11 --> 00:21:18]  Значит, вставим шаг после, порагрева 2, прогрер солок сделаем, прогрер 40.
[00:21:18 --> 00:21:25]  Значит, на 40, у нас мы сделаем, в температур осторок, время 5 минут.
[00:21:25 --> 00:21:31]  Застлоночки здесь все у нас открытые, например, значит вот этот шаг,
[00:21:31 --> 00:21:35]  на 5 минут, 1,5, перешли, и он за уши, прогрев 3-5.
[00:21:38 --> 00:21:41]  Продвиг 3-5, сохранить.
[00:21:41 --> 00:21:48]  Значит, это прогревесорок на шаг, сохранение.
[00:21:48 --> 00:21:51]  Вот прогрев с 40 на шаг и сставляем шаг после.
[00:21:51 --> 00:21:57]  Значит, прогрев 40-5, сохранить.
[00:21:57 --> 00:22:02]  И готово 45, время 5 минут, сохранить.
[00:22:02 --> 00:22:08]  Вот на 5-640, но он на шаг, на нету еще, прогрев 50, прогрев 50.
[00:22:08 --> 00:22:11]  И на 5-10 есть, здесь подержу 10 минут.
[00:22:12 --> 00:22:15]  Но 5-10, касается подержа 10 минут.
[00:22:16 --> 00:22:21]  Нет, температуру камеры 50, а время 1-10.
[00:22:23 --> 00:22:24]  Вот.
[00:22:25 --> 00:22:33]  Ставить шаг после на 55, 15-15, также температуру камеры 15-15.
[00:22:34 --> 00:22:37]  И, по времени 5 минут, сохранить.
[00:22:37 --> 00:22:41]  И, стоишь, шаг после, за прогрев 60.
[00:22:42 --> 00:22:46]  С температурок камеры 60, также 5 минут.
[00:22:46 --> 00:22:51]  После этого, значит, мы смотрим, у нас получился, как 60-5.
[00:22:52 --> 00:23:03]  Плюс 5-5-10, плюс 10-20, 20-5, 30-35 минут, сушку.
[00:23:03 --> 00:23:07]  И, может, не может, не может, не может, не может,
[00:23:07 --> 00:23:11]  не может, не может, не добавить на 55.
[00:23:11 --> 00:23:14]  И, из-за меня, мы шагы добавим еще здесь 10 минут.
[00:23:14 --> 00:23:18]  Вот, того, он получается, а, прям, сорок, а, может, сушку, а, может, получается.
[00:23:18 --> 00:23:24]  После этого у нас, стоим шаг после, копчения, как обычно.
[00:23:25 --> 00:23:36]  В общении, слых, ранить температуру камеры 30, время 30, так как температуру камеры 60, не попробовать.
[00:23:36 --> 00:23:42]  И, делаем, так что, бы, звоночек, он запозвонил, что нужно наживать, да и магенератор.
[00:23:42 --> 00:23:43]  Все есть.
[00:23:43 --> 00:23:48]  На счет исследующий у нас этап, это варка.
[00:23:49 --> 00:23:56]  Ну, как мы помним, на пригорячем копчения рыбы, воду в камеру не подаём.
[00:23:56 --> 00:24:00]  Не подаём, или того, чтобы нас не развалилось.
[00:24:00 --> 00:24:08]  Значит, влажность внутри камеры пригоряя певарки рыбы, нас регулируется выбросной за сломкой.
[00:24:08 --> 00:24:12]  Чем большим ее закрываем, тем больше, влажность у нас камеры.
[00:24:12 --> 00:24:17]  И мы делаем влажность на уровне 55,65%.
[00:24:17 --> 00:24:24]  Значит, влажность мы не подаём температуру камеры, мы даем 80,
[00:24:24 --> 00:24:29]  два, те же самые граммы, вот температуру продукта, но нужно 56 грамм.
[00:24:29 --> 00:24:35]  И, в время нас не интересует, потому что мы все это делаем, потенераторию, и влажность,
[00:24:35 --> 00:24:39]  как я напоминаю еще раз, мы регулируем именно выбросной за сломкой.
[00:24:39 --> 00:24:41]  Вот в принципе, не закрытие, выбросной за сломкой.
[00:24:41 --> 00:24:47]  Чем больше мы ее открываем, тем больше той влади, которые рыбы отдает, выбросываются наружу,
[00:24:47 --> 00:24:50]  тем меньше у нас влажность внутри камеры.
[00:24:50 --> 00:24:54]  Ещё раз влажность здесь мы держим вот 55%, до 65%.
[00:24:54 --> 00:24:56]  Сахранитель.
[00:24:56 --> 00:24:59]  Прога мы нажим, называемый рыбар.
[00:24:59 --> 00:25:01]  Какая?
[00:25:01 --> 00:25:03]  Какая?
[00:25:03 --> 00:25:05]  Какая?
[00:25:05 --> 00:25:07]  Какая?
[00:25:07 --> 00:25:08]  Сахнони.
[00:25:08 --> 00:25:12]  И вот мы быстренько создали с вами все необходимые программы,
[00:25:12 --> 00:25:16]  которые можно и лекорицы или свинины и для рыбы.
[00:25:16 --> 00:25:22]  Значит, на мойке мы, значит, влажность 75%
[00:25:22 --> 00:25:26]  сейчас посмотрите, что у нас зошаги на мойке.
[00:25:26 --> 00:25:32]  Значит, так у нас один шаг на мойке.
[00:25:32 --> 00:25:37]  Значит, температура камера 60.
[00:25:37 --> 00:25:40]  Время пооза 68.
[00:25:40 --> 00:25:41]  Время и пооза 72.
[00:25:41 --> 00:25:47]  Время пооза изделаю 6 секунд.
[00:25:47 --> 00:25:51]  Вместе 60 секунд, что они слишком сильно заливало,
[00:25:51 --> 00:25:55]  чтобы пара сделаем влажность 100%.
[00:25:55 --> 00:25:57]  В такой вотстанкт будет мойки.
[00:25:57 --> 00:25:59]  В моторе мы вот сорок вы ее промываете,
[00:25:59 --> 00:26:03]  примерно 30, и на дополнительное будет все промывать,
[00:26:03 --> 00:26:06]  чтобы к нам, например, не делику по коптире,
[00:26:06 --> 00:26:08]  чтобы она сама все помыла.
[00:26:08 --> 00:26:09]  У меня не делик.
[00:26:09 --> 00:26:10]  Раз-недили, да.
[00:26:10 --> 00:26:12]  Раз-недили, делик делик очень много.
[00:26:12 --> 00:26:14]  Не говорится, что это количество.
[00:26:14 --> 00:26:16]  Вот.
[00:26:16 --> 00:26:19]  Значит, 30 минут на каких отправляем.
[00:26:19 --> 00:26:22]  Так, и не с шутки, температура камера побольше поднял.
[00:26:22 --> 00:26:24]  Усвист, вот так.
[00:26:24 --> 00:26:27]  Вот так, мы сделали для нас моюку.
[00:26:27 --> 00:26:28]  Вот.
[00:26:28 --> 00:26:29]  Все.
[00:26:29 --> 00:26:30]  Все.
[00:26:30 --> 00:26:32]  У моих доходов на вода.
[00:26:32 --> 00:26:33]  Отсюда идет поводный вода.
[00:26:33 --> 00:26:35]  Но она будет нагреваться.
[00:26:35 --> 00:26:36]  Какая хорошо.
[00:26:36 --> 00:26:39]  Вот, собственно, мы с вами забили все необходимые.
[00:26:39 --> 00:26:41]  Устал его в астут раз, 2, 3, 4, 5.
[00:26:41 --> 00:26:44]  Универсальных программ, которые необходимо для того,
[00:26:44 --> 00:26:47]  вам производить большое современное продукция.
[00:26:47 --> 00:26:50]  И, естественно, некоторые параментры можно менять.
[00:26:50 --> 00:26:53]  Зависимость от качества сырия.
[00:26:53 --> 00:26:55]  Зависимость от предпочтения клиентов,
[00:26:55 --> 00:26:57]  тем не и цвета, не хотят.
[00:26:57 --> 00:26:58]  Менее, тем не цвет.
[00:26:58 --> 00:27:00]  Более похожи на деревенские.
[00:27:00 --> 00:27:02]  Более похожи на профессиональные.
[00:27:02 --> 00:27:04]  Если кто-то захочет более мягкую продукцию,
[00:27:04 --> 00:27:07]  как я говорю, мы на этапе варки просто добавляем время.
[00:27:07 --> 00:27:09]  Варим в спаром на пилоговядину.
[00:27:09 --> 00:27:12]  Если вы делаете, хочется ее более такой вот мягенькую.
[00:27:12 --> 00:27:16]  По-рубочному не просто, мы в плотно было, кто хочет более мягкую говядину.
[00:27:16 --> 00:27:18]  Но, конечно, да, я дай вам еще на этапе варки.
[00:27:18 --> 00:27:20]  И не только до 72 центре доводим,
[00:27:20 --> 00:27:23]  а то ее еще полчасика на максимальной влажности.
[00:27:23 --> 00:27:27]  И, по-быть, полчасика часа, где то же было просто более такая мягкая,
[00:27:27 --> 00:27:30]  чтобы легче распадалась на волокна.
[00:27:30 --> 00:27:34]  Вот практически на потерне не потеряет весье.
[00:27:34 --> 00:27:41]  Потому что она будет вариться с плотным паром 92%-довлажности при 80 градусов.
[00:27:41 --> 00:27:45]  Но, дополнить некулинарные такие вот преимущества на получит.
[00:27:45 --> 00:27:47]  Очень то все.
