[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[00:20:36 --> 00:20:42]  Наверное, самое большое. И поэтому процесс перекрутки получаются очень быстро.
[00:20:42 --> 00:20:44]  Пока обеда я уже утритский лаграм накрутил.
[00:20:44 --> 00:20:47]  Сколько на одну власть? На одну здесь.
[00:20:48 --> 00:20:49]  Слышь. Слышь. Слышь.
[00:20:50 --> 00:20:52]  Но 7 килограмм.
[00:20:53 --> 00:20:55]  То есть 4,5.
[00:20:56 --> 00:20:57]  С 8 килограмм получаются.
[00:20:58 --> 00:21:00]  Сегодня я делаю 50 килограмм.
[00:21:01 --> 00:21:03]  50 килограмм. В неспешном режиме.
[00:21:04 --> 00:21:06]  Я перекручиваю.
[00:21:07 --> 00:21:09]  Черевая. Надо медленная крутить.
[00:21:09 --> 00:21:16]  Если там 3,4,3,6, можно намного быстрее.
[00:21:17 --> 00:21:21]  50 килограмм получился перекрутить.
[00:21:22 --> 00:21:25]  Сколько максимально колбасынт?
[00:21:26 --> 00:21:28]  Если у нас получает 0 килограмм.
[00:21:29 --> 00:21:30]  Сто килограмм.
[00:21:31 --> 00:21:33]  Но, на мото можно задвочить.
[00:21:34 --> 00:21:36]  Если фарши готовы.
[00:21:36 --> 00:21:40]  С утра фарши.
[00:21:41 --> 00:21:43]  Мы говорят, за сутки подготовлен.
[00:21:44 --> 00:21:46]  Он просоливается.
[00:21:47 --> 00:21:49]  Ты все можно как бы работали.
[00:21:50 --> 00:21:51]  Сколько всего с народу работает?
[00:21:52 --> 00:21:53]  Данем много человек 5,5.
[00:21:54 --> 00:21:55]  А вот в цеху.
[00:21:56 --> 00:21:57]  Кто колбасы?
[00:21:58 --> 00:22:00]  Да, я и повором не помогают.
[00:22:01 --> 00:22:03]  Потому что не нужно много народа,
[00:22:03 --> 00:22:06]  потому что процессы не сможет.
[00:22:07 --> 00:22:09]  Они просто трудоемки.
[00:22:10 --> 00:22:12]  Упаковка, фасовка.
[00:22:13 --> 00:22:15]  В таких вещей.
[00:22:16 --> 00:22:17]  Самая колбаса.
[00:22:18 --> 00:22:21]  Потом много очень подготовительных работ.
[00:22:22 --> 00:22:24]  Вот это все.
[00:22:25 --> 00:22:26]  Почистить.
[00:22:26 --> 00:22:27]  Это как раз помощники.
[00:22:28 --> 00:22:30]  Слушайте, что я говорю, что я сделаю.
[00:22:31 --> 00:22:32]  Слушайте, что это надо думать.
[00:22:33 --> 00:22:34]  Это делаешь сам.
[00:22:35 --> 00:22:37]  Суфарш фарш из-заставления.
[00:22:38 --> 00:22:40]  И с камерой тоже сам работает.
[00:22:41 --> 00:22:42]  Быстро переключил, что они будут.
[00:22:43 --> 00:22:45]  Но она была автоматическая.
[00:22:46 --> 00:22:47]  И подслеживая.
[00:22:48 --> 00:22:51]  Да, потому что здесь у нас мы на озере находимся.
[00:22:51 --> 00:22:54]  Здесь у нас влажность очень сильно прыгает.
[00:22:55 --> 00:22:56]  И надо как бы следить за этим.
[00:22:57 --> 00:23:04]  Влажность тоже важный момент, что нужно следить за окружающей температурой и подстраивать сам процесс.
[00:23:05 --> 00:23:09]  Потому что бывает, надо подсушить побольше.
[00:23:10 --> 00:23:12]  Вроде бы она у нас садку прошла.
[00:23:13 --> 00:23:14]  Но очень холодильники простояло.
[00:23:15 --> 00:23:18]  Но от времени она до 40 минут сошит.
[00:23:18 --> 00:23:20]  Бывает не всегда.
[00:23:21 --> 00:23:23]  Это как раз зависит от влажности.
[00:23:24 --> 00:23:25]  Влажность очень много зависит.
[00:23:26 --> 00:23:27]  Зимонное, лучше сушится.
[00:23:28 --> 00:23:33]  Потому что в воздух более сухой на улице у нас получается в лагосадежании воздуха.
[00:23:34 --> 00:23:35]  Горазно ниже.
[00:23:36 --> 00:23:38]  Влажность уже в помещении тоже ниже.
[00:23:39 --> 00:23:41]  Садыс на колбаска получше.
[00:23:42 --> 00:23:44]  А летом набород в воздух содержит больше влаги.
[00:23:44 --> 00:23:46]  Влажность очень важно.
[00:23:47 --> 00:23:49]  Ни только варенок обчён и занимается.
[00:23:50 --> 00:23:52]  Она очень много сравленок в бассейн.
[00:23:53 --> 00:23:54]  В этом камере.
[00:23:55 --> 00:23:57]  Там веалица колбаса.
[00:23:58 --> 00:24:01]  И летом, конечно, это дольше приходится больше высушивать.
[00:24:02 --> 00:24:05]  Когда зимой мы больше набород влажности добавляем.
[00:24:06 --> 00:24:09]  То летом, конечно, при системы работают.
[00:24:09 --> 00:24:11]  В suchом напряжённом режиме.
[00:24:12 --> 00:24:14]  Вся ввыслушить.
[00:24:15 --> 00:24:17]  Сколько вы в среде месяц делаете?
[00:24:18 --> 00:24:20]  Варенок обчёные продукции.
[00:24:21 --> 00:24:23]  В общем, много делая.
[00:24:24 --> 00:24:28]  Мы работаем с сезонами.
[00:24:29 --> 00:24:30]  С универсами.
[00:24:31 --> 00:24:32]  Как они сезонны называют сжида.
[00:24:33 --> 00:24:34]  Очень хорошо не рсам.
[00:24:34 --> 00:24:35]  Мы тут очень любили.
[00:24:36 --> 00:24:38]  Мы тут прямо уже стали много возить.
[00:24:39 --> 00:24:43]  Среднее месяца сейчас информация понимания или лучшего Александра узнать.
[00:24:44 --> 00:24:45]  Лучше у Александра.
[00:24:46 --> 00:24:48]  Воклотонны, наверное, уже делаем месяц.
[00:24:49 --> 00:24:51]  В принципе, получается, в день мы 50-100 килограммов.
[00:24:52 --> 00:24:53]  50 килограммов.
[00:24:54 --> 00:24:56]  И колбаса.
[00:24:56 --> 00:25:00]  И, конечно, это деликатессы.
[00:25:01 --> 00:25:03]  Потому что, конечно, объемните желей.
[00:25:04 --> 00:25:07]  То же тоже колбас такие вагрампы получились.
[00:25:08 --> 00:25:09]  Какое с артименту?
[00:25:10 --> 00:25:12]  Сколько вида в колбас, которые вы имя на возите массово.
[00:25:13 --> 00:25:14]  Немного.
[00:25:15 --> 00:25:17]  У нас тут есть производство маленькая.
[00:25:18 --> 00:25:22]  Нас раньше параллета назад был такой с артимент,
[00:25:22 --> 00:25:25]  что я тут просто начивал, может сказать.
[00:25:26 --> 00:25:28]  Потому что, да, саша помню, что и в час и в два часа,
[00:25:29 --> 00:25:30]  в два часа ночи я приезжал домой.
[00:25:31 --> 00:25:34]  И в эпоете, вот, и под утро бывала, потому что нужно делать.
[00:25:35 --> 00:25:37]  Нужно делать много, потому что с артимент большой.
[00:25:38 --> 00:25:42]  В колбас, наверное, видов 10, какие панчеты, копы,
[00:25:43 --> 00:25:47]  корбонаты, груди, нки, ребра, это все подарят.
[00:25:47 --> 00:25:52]  Да, это очень телевыматова, и поэтому мы очень сильно сократили.
[00:25:53 --> 00:25:54]  Сократили.
[00:25:55 --> 00:25:57]  Ну и, в принципе, что лучше, как бы не большой с артимент,
[00:25:58 --> 00:26:01]  эффективно сосредоточиться на каком-то небольшом с артиментом,
[00:26:02 --> 00:26:03]  не делайте вам максимально кать.
[00:26:04 --> 00:26:07]  Ну, конечно, и мы опять же проводим поставим на анализ наших продаж,
[00:26:08 --> 00:26:14]  что лучше продается, что начинаем делать это больше чаще.
[00:26:14 --> 00:26:17]  То есть важный момент, то есть лучше с концентрировой,
[00:26:18 --> 00:26:22]  не огромный, не мят с концентрироваться на каком-то ограниченном количестве.
[00:26:23 --> 00:26:24]  Больше.
[00:26:25 --> 00:26:26]  И цель намышечный и колбас.
[00:26:27 --> 00:26:30]  Весь с артимент, то есть, натрой 5 колбас, 5 цель намышечный.
[00:26:31 --> 00:26:32]  Даже много.
[00:26:33 --> 00:26:36]  3, 4, и потому что это уже нужно все по-ковать.
[00:26:37 --> 00:26:38]  Это нужно хранить.
[00:26:39 --> 00:26:41]  Покетов всегда разные, по-кому, кто же разная,
[00:26:41 --> 00:26:43]  это все складские помещения,
[00:26:44 --> 00:26:46]  это все у нас, конечно, тут большой здания.
[00:26:47 --> 00:26:50]  И вот цех у нас занимает, ну, наверное, четверть.
[00:26:51 --> 00:26:52]  Вот все остальное вот холодильники,
[00:26:53 --> 00:26:56]  мыразильная камеру, подсобные помещения, складские помещения.
[00:26:57 --> 00:26:59]  А расскажите, здесь пролосов, какие у вас, на края площадь, здесь получается.
[00:27:00 --> 00:27:01]  Вот это вот, да.
[00:27:02 --> 00:27:04]  Чистот производственная, получается,
[00:27:05 --> 00:27:06]  около 70 метров.
[00:27:07 --> 00:27:08]  Вот это 70 метров.
[00:27:08 --> 00:27:09]  Здесь у нас стоит две коптильни,
[00:27:10 --> 00:27:11]  но получается, вот еще,
[00:27:12 --> 00:27:15]  где-то метрах на 35, 40, это холодильники занимают.
[00:27:16 --> 00:27:17]  3 холодильника, я смотрю тебе, да?
[00:27:18 --> 00:27:19]  Они довольно-таки большие.
[00:27:20 --> 00:27:22]  Ну, вот, вот сейчас, получаете около 100 метров на вероятного.
[00:27:23 --> 00:27:25]  И можно на 100 метров, где-то 250 килограмм,
[00:27:26 --> 00:27:27]  вот мне, я не сошу говорить,
[00:27:28 --> 00:27:29]  вот здесь, здесь, 30 килограмм, вступки можно делать.
[00:27:30 --> 00:27:31]  Можно, да.
[00:27:32 --> 00:27:33]  Это в сутки или за смену.
[00:27:34 --> 00:27:36]  За смену.
[00:27:36 --> 00:27:37]  12 часов где-то.
[00:27:37 --> 00:27:39]  Не сутки, а смен, 8, 12 часов.
[00:27:40 --> 00:27:41]  А сутки все-таки можно вторую смену еще добавить.
[00:27:42 --> 00:27:43]  Можно.
[00:27:44 --> 00:27:45]  При прям необходимость.
[00:27:46 --> 00:27:49]  То есть, это, да, до 50 килограмм сутки можно вывести.
[00:27:50 --> 00:27:52]  Но это уже будет такой вот непрерывная история.
[00:27:53 --> 00:27:55]  Ты же лоба будет, и мы, конечно, столько,
[00:27:56 --> 00:27:57]  что столько не делали, но хотя, наверное,
[00:27:58 --> 00:28:00]  пиковой нагрузки у нас были перед новым годом.
[00:28:01 --> 00:28:03]  Вот, коллеги не дадут собрать,
[00:28:04 --> 00:28:05]  потому что мы туда...
[00:28:06 --> 00:28:09]  Делали очень много, да, потому что за казах там были такие,
[00:28:10 --> 00:28:11]  что там, как замоклиенту, нужно было,
[00:28:12 --> 00:28:13]  100 пылески лограмм.
[00:28:14 --> 00:28:15]  Вот и это нужно сделать все,
[00:28:16 --> 00:28:18]  все, на новую год, были,
[00:28:19 --> 00:28:21]  с продукцией, все все все, все заработали.
[00:28:22 --> 00:28:23]  Вот поэтому.
[00:28:24 --> 00:28:25]  То есть, если по помещению, я там начали заметить,
[00:28:26 --> 00:28:27]  что вам примерно 10 квадратных метров,
[00:28:28 --> 00:28:29]  что бы все это деломыть.
[00:28:30 --> 00:28:32]  Одель мы приходим в помещение, где у нас располагается
[00:28:33 --> 00:28:34]  все технологическое оборудование.
[00:28:34 --> 00:28:38]  В тильнистой, где там вакомный массажер стоит и
[00:28:39 --> 00:28:40]  инъектор стал и шприц тоже мой,
[00:28:41 --> 00:28:42]  какие-то для рук.
[00:28:43 --> 00:28:44]  Все-то в принципе достаточно,
[00:28:45 --> 00:28:46]  того, чтобы производить вот тот состимент,
[00:28:47 --> 00:28:48]  который мы с вами говорили.
[00:28:49 --> 00:28:51]  Мы даже задумывались покупать шприц побольше,
[00:28:52 --> 00:28:53]  либо просто гидравлический.
[00:28:54 --> 00:28:58]  Я понимаю, что даже одному,
[00:28:59 --> 00:29:00]  там 50 килограмм, там 100,
[00:29:00 --> 00:29:03]  а вот за полтора 2 часа можно это перекрутить.
[00:29:04 --> 00:29:05]  То есть, не напрягает.
[00:29:06 --> 00:29:08]  Когда уже надо все мне на дело 200,
[00:29:09 --> 00:29:11]  250, 300 килограмм, то, конечно,
[00:29:12 --> 00:29:13]  и мне смысл нанестируйте уже в оборудование.
[00:29:14 --> 00:29:16]  Обратить внимание, что здесь принципе стоит очень простой шприц.
[00:29:17 --> 00:29:18]  120 на 100.
[00:29:19 --> 00:29:21]  То есть это никакой, это супер дорогой оборудование.
[00:29:22 --> 00:29:24]  Очень доступная, вот стоит на тримисорубка,
[00:29:25 --> 00:29:26]  тоже не очень дорогая, то же, ты что, 3-5.
[00:29:26 --> 00:29:29]  Она не дорогая, но она довольно-таки продуктивная,
[00:29:30 --> 00:29:32]  600 килограмм часа не выдает.
[00:29:33 --> 00:29:34]  Запасом большинство.
[00:29:35 --> 00:29:37]  ММП, мим 600.
[00:29:38 --> 00:29:40]  Если мим 150, мим 300, и мы взяли,
[00:29:41 --> 00:29:43]  скажем так, запасом, и чтобы она,
[00:29:44 --> 00:29:45]  но она и по-мощей, конечно,
[00:29:46 --> 00:29:48]  потому что для колбас нужно все-таки
[00:29:49 --> 00:29:50]  серьез такой подмороженой сильной делой.
[00:29:51 --> 00:29:52]  Но чтобы не размазывался жир,
[00:29:52 --> 00:29:55]  поэтому взяли запасом, поэтому нам ее хоть на долг.
[00:29:56 --> 00:29:57]  Пойдем в воду.
[00:29:58 --> 00:30:01]  Здесь интересный момент очень важный.
[00:30:02 --> 00:30:06]  Понятно, что без него довольно сложно пользоваться камерой.
[00:30:07 --> 00:30:09]  Сначала наживательно, вот его предусмотреть,
[00:30:10 --> 00:30:12]  чтобы в процессе варки, и вся вода не вода.
[00:30:13 --> 00:30:15]  В рактировали, как раз, две камеры,
[00:30:16 --> 00:30:17]  что здесь стояла.
[00:30:17 --> 00:30:19]  И вот там еще трападен.
[00:30:20 --> 00:30:22]  Здесь скрывали полностью весь пол,
[00:30:23 --> 00:30:26]  все сделали с уклонами, потому что иначе никак.
[00:30:27 --> 00:30:30]  Это камера у нас подключена в анителизонный короб.
[00:30:31 --> 00:30:33]  Тоже в анителизонный короб подключена камера.
[00:30:34 --> 00:30:37]  Из этой камеры уже все это высаться наружу.
[00:30:38 --> 00:30:41]  Такая система, я уже в процессе работы понял,
[00:30:42 --> 00:30:45]  что непрайльно будут переделывать.
[00:30:45 --> 00:30:46]  Почему?
[00:30:46 --> 00:30:50]  Потому что когда начинаешь сушить,
[00:30:51 --> 00:30:53]  а допустим здесь здесь коптица.
[00:30:54 --> 00:30:56]  Здесь обороты 50,
[00:30:57 --> 00:30:59]  и получается, что она как бы затягивает.
[00:31:00 --> 00:31:02]  И увеличивается как бы автоматически тяга здесь увеличивает.
[00:31:03 --> 00:31:04]  Понятно, понятно.
[00:31:05 --> 00:31:07]  Лучая отдельная, что вы получаете.
[00:31:08 --> 00:31:11]  Я таких тонкости, только в процессе работы.
[00:31:12 --> 00:31:13]  Я не знал такой тонк.
[00:31:13 --> 00:31:16]  Да, потому что мы запитали одну.
[00:31:17 --> 00:31:22]  Я делал, получается, мы здесь сушили, тут коптили.
[00:31:23 --> 00:31:25]  И пришлось выключить сушку.
[00:31:26 --> 00:31:30]  И включил, что время обороты были одинаковые.
[00:31:31 --> 00:31:32]  Приток, я смотрю, есть здесь.
[00:31:33 --> 00:31:35]  Да, мы сделали дополнительно еще.
[00:31:36 --> 00:31:38]  Ты при то, кто у нас есть, и будет.
[00:31:39 --> 00:31:41]  Это выброс по сути, получается, это при то.
[00:31:41 --> 00:31:43]  Нет, это тоже отток.
[00:31:44 --> 00:31:45]  А при то, где я сон там.
[00:31:46 --> 00:31:48]  Все, чески вы его получаются при то.
[00:31:49 --> 00:31:52]  Потому что, что камер от кровава, это не справляется.
[00:31:53 --> 00:31:57]  Очень много паровых ходит, надо дверя дверя, дверя открывать нельзя.
[00:31:58 --> 00:32:02]  Потому что попонятно, причинем, на секомы, на летят мясо сидят еще.
[00:32:03 --> 00:32:04]  Или с собой унесут.
[00:32:05 --> 00:32:07]  Я смотрю тоже, у вас, бодовольно большой инъектор,
[00:32:07 --> 00:32:09]  потому что мы не были, потому что меньше не было.
[00:32:10 --> 00:32:13]  Нет, мы уже не обон что-то перспектива.
[00:32:14 --> 00:32:17]  Потому что опять же, повторюсь, это очень удобно,
[00:32:18 --> 00:32:20]  потому что у нас с помещения небольшое.
[00:32:21 --> 00:32:25]  И инъектор, он нам позволяет быстро просолить продукт.
[00:32:26 --> 00:32:28]  У нас не стоит большой задачи,
[00:32:29 --> 00:32:30]  там у лечение веса.
[00:32:31 --> 00:32:33]  Самая главная задача, это быстро просол.
[00:32:33 --> 00:32:38]  Потому что когда у нас не было, мы наших холодильных камеры,
[00:32:39 --> 00:32:42]  но просто забивали полностью, чтобы все это просолить,
[00:32:43 --> 00:32:45]  опросали, надо минимум, там 5-7 дней.
[00:32:46 --> 00:32:48]  А с инъектором из массажером, сегодня ты сделал,
[00:32:49 --> 00:32:51]  нам начало нас с утра, уже готовишь.
[00:32:52 --> 00:32:56]  Поэтому мы саживаем нам, и в холодильник.
[00:32:57 --> 00:32:58]  И он на всю ночь мастя.
[00:32:59 --> 00:33:00]  Мы специально сделаны.
[00:33:00 --> 00:33:03]  Когда мы проектировали, у нас получилась так,
[00:33:04 --> 00:33:06]  что холодильники мы сделали с нижней плетой,
[00:33:07 --> 00:33:08]  получать ступенька.
[00:33:09 --> 00:33:10]  А массажер довольно небольшой,
[00:33:11 --> 00:33:13]  три столитров, и когда мы полностью взаимозабиваем,
[00:33:14 --> 00:33:16]  то и вот туда просто не закатить.
[00:33:17 --> 00:33:19]  Пришлось построить рельс и такие.
[00:33:20 --> 00:33:23]  Ну, примерно такие же, как бы камеры, и подним закатываем.
[00:33:24 --> 00:33:25]  Ну, да, отлично.
[00:33:26 --> 00:33:28]  Моги просто иногда мастирует, там час полтора,
[00:33:28 --> 00:33:31]  вытаскивают, и уже ставят в холодильник на соли.
[00:33:32 --> 00:33:33]  То есть можно и так.
[00:33:34 --> 00:33:36]  То есть большой вопрос, и медлес мысловываем всю ночь мастировать.
[00:33:37 --> 00:33:40]  Это можно не, так а мы мастируем как бы не всю ночь.
[00:33:41 --> 00:33:43]  Он просто в холодильнике стоит всю ночь.
[00:33:44 --> 00:33:46]  Мы просто как бы, как правило, в конце смена мы пораживали,
[00:33:47 --> 00:33:49]  мы сажёр положили в холодильник убрали,
[00:33:50 --> 00:33:51]  помасировали там пару часов.
[00:33:52 --> 00:33:54]  Ну, вот все выключили, он там ваком не стоит просоливается дальше.
[00:33:55 --> 00:33:57]  А сколько общая площадь помещение всего у вас?
[00:33:58 --> 00:33:59]  270 метров.
[00:34:00 --> 00:34:03]  В 270 метров. То есть получается часть вы убрали под кафе.
[00:34:04 --> 00:34:07]  Да, кафе, потому что мы когда присмотрели это здание,
[00:34:08 --> 00:34:10]  то мы порковые не думали вообще.
[00:34:11 --> 00:34:14]  Мы думали просто производ, и мы и магазин при производы.
[00:34:15 --> 00:34:19]  Потом вы, ну, трасса, прямо в дом, в дом.
[00:34:20 --> 00:34:21]  Почему бы не это?
[00:34:22 --> 00:34:23]  Да, и кафе очень хорошо работает.
[00:34:23 --> 00:34:26]  То есть, вот тут трассическая, как бы такая история активность,
[00:34:27 --> 00:34:28]  да, хорошая. Ну вот его зерой.
[00:34:29 --> 00:34:32]  И туристов, много и вот басадых, очень много всяких разных,
[00:34:33 --> 00:34:35]  там вот самых дешёвых до самых дорогих.
[00:34:36 --> 00:34:39]  Если есть вот некоторые поселки, где прямо вот на бергоне находятся.
[00:34:40 --> 00:34:41]  Интересно, ну, с накафе вы отвели.
[00:34:42 --> 00:34:43]  Это метров 8, да?
[00:34:44 --> 00:34:46]  Сама торговая площадь там 50.
[00:34:47 --> 00:34:50]  Вместе все, кафе, где-то около 50-70 метров.
[00:34:50 --> 00:34:53]  Вот, ну и получается метров 15-ти кухня.
[00:34:54 --> 00:34:56]  Медрапина, потом у нас получать 70 метров.
[00:34:57 --> 00:35:01]  Вот это вот, производственное помещение, где можно на 200-150 в судке производить.
[00:35:02 --> 00:35:04]  И площадь холодильников там тоже.
[00:35:05 --> 00:35:08]  Да, в колодителя, потом дальше идут коридора подсобные помещения.
[00:35:09 --> 00:35:12]  У нас опять же несколько зелных входов, вот здесь,
[00:35:13 --> 00:35:14]  здесь мы товар принимаем.
[00:35:15 --> 00:35:17]  Вот, стои стороны мы вот гружаем готовы.
[00:35:17 --> 00:35:19]  А расскажет про назначения холодильников, пожалуйста.
[00:35:20 --> 00:35:22]  Большой, вот этот самый большой.
[00:35:23 --> 00:35:25]  Он и был с проектирован таким образом.
[00:35:26 --> 00:35:28]  Я когда его заказывал, все холодильники сделаны под заказ.
[00:35:29 --> 00:35:34]  Вот, я упроектировал таким образом, чтобы у нас на этоместо стало 250 ежется.
[00:35:35 --> 00:35:39]  Да, я думаю, что, наверное, может быть, у меня есть какие-то какие-то.
[00:35:40 --> 00:35:42]  В этом году мы его закажем.
[00:35:42 --> 00:35:45]  Потому что, рамак, там, друг митровая, удобная.
[00:35:46 --> 00:35:50]  Можно сразу сделать много и, если обречь внимание, побольше.
[00:35:51 --> 00:35:53]  Само, сам ход побольше.
[00:35:54 --> 00:35:55]  И дверь побольше.
[00:35:56 --> 00:35:58]  Да, да, для садки, чтобы туда прям на крутил колбаску, на крутил колбаску.
[00:35:59 --> 00:36:00]  На садку, на ночь.
[00:36:01 --> 00:36:02]  Да, на что поставил все.
[00:36:03 --> 00:36:05]  И потом разхлыкать его уже туда.
[00:36:06 --> 00:36:08]  Да, потом это у нас морозильная камера.
[00:36:08 --> 00:36:12]  И климатическая камера, там мы делаем нашу вкус.
[00:36:13 --> 00:36:16]  Значит, у нас большая камера, там какой температурный режим.
[00:36:17 --> 00:36:18]  Ноль, ноль.
[00:36:19 --> 00:36:20]  Во второй камер.
[00:36:21 --> 00:36:23]  В минус 19.
[00:36:24 --> 00:36:25]  В минус 19, там подсередов.
[00:36:26 --> 00:36:30]  И третья сыровяло, это климатическая камера, там плюс 19.
[00:36:31 --> 00:36:32]  Понятно.
[00:36:33 --> 00:36:34]  Пока, конечно, что там.
[00:36:35 --> 00:36:36]  Покажу.
[00:36:39 --> 00:36:42]  Вот, здесь у нас мясо.
[00:36:43 --> 00:36:45]  Покдотавливается, просоливается.
[00:36:46 --> 00:36:47]  Какой размер ее по полу.
[00:36:48 --> 00:36:49]  По полу получается.
[00:36:50 --> 00:36:51]  Два на 4.
[00:36:52 --> 00:36:53]  Два на 4. Да.
[00:36:54 --> 00:36:56]  Да, до 16 кубов получается.
[00:36:57 --> 00:36:58]  Давайте не будем.
[00:36:59 --> 00:37:01]  Как раз рама нормально заезжает.
[00:37:02 --> 00:37:03]  Все я закрыл.
[00:37:03 --> 00:37:04]  Так.
[00:37:05 --> 00:37:06]  Борези у нас.
[00:37:07 --> 00:37:09]  Принципы примерно такого же размера.
[00:37:10 --> 00:37:11]  Ну, понятно.
[00:37:12 --> 00:37:13]  И подлинят такая же.
[00:37:14 --> 00:37:15]  Подлинят такая же.
[00:37:16 --> 00:37:17]  Пошерение.
[00:37:18 --> 00:37:19]  Пусть минул.
[00:37:20 --> 00:37:21]  Да, очень много.
[00:37:22 --> 00:37:24]  Поскольку вы закупаете, сырья примерно.
[00:37:25 --> 00:37:26]  Да, по разному.
[00:37:27 --> 00:37:28]  Но минимум 100 килограмм.
[00:37:28 --> 00:37:33]  Потому что, но хорошей крупной производителей мясо.
[00:37:34 --> 00:37:37]  Чтобы бесплатно доставляли,
[00:37:38 --> 00:37:39]  то надо, конечно, побольше заказывать.
[00:37:40 --> 00:37:41]  А это большая, да, камерой-то.
[00:37:42 --> 00:37:43]  Ну, побольше немножко.
[00:37:44 --> 00:37:45]  Увтей.
[00:37:49 --> 00:37:51]  Сейчас мы идти в выкатим.
[00:37:52 --> 00:37:53]  На деревянное храма.
[00:37:54 --> 00:37:55]  Шик.
[00:37:59 --> 00:38:03]  Ну, потому что я посчитал 100.
[00:38:04 --> 00:38:05]  Да.
[00:38:06 --> 00:38:09]  Поехал купил брусков и сам скрутил.
[00:38:10 --> 00:38:12]  Итальянские вообще, мы познакомились с ребятами.
[00:38:13 --> 00:38:14]  А...
[00:38:15 --> 00:38:19]  Они пол, стены потолок, все в шевоид дерево.
[00:38:20 --> 00:38:21]  Ну, древи.
[00:38:22 --> 00:38:23]  Где веолет.
[00:38:24 --> 00:38:26]  Он шидеревый влагу тоже забирает.
[00:38:26 --> 00:38:28]  Вот такие классные колбасы мы делаем.
[00:38:29 --> 00:38:30]  Вау, двя лица не долго.
[00:38:31 --> 00:38:33]  По-настоящему больше месяца уходит.
[00:38:34 --> 00:38:36]  Не ускоряем со старыми культурами.
[00:38:37 --> 00:38:40]  Колбаски получают очень вкусные, классные, ромакные.
[00:38:41 --> 00:38:43]  Поэтому, на них очень большой способ.
[00:38:44 --> 00:38:47]  И я его сейчас подготовлена на 150 килограмм.
[00:38:48 --> 00:38:49]  Сейчас все выходные.
[00:38:50 --> 00:38:52]  Я буду крутить в колбасу.
[00:38:52 --> 00:38:57]  Потому что майсские праздники впереди нужно это все быстро и делать.
[00:38:58 --> 00:39:02]  Ну, у нас всегда веолет, где-то в работе,
[00:39:03 --> 00:39:05]  100,50 килограмм всех всегда в работе.
[00:39:06 --> 00:39:09]  Потому что серавельный колбас берут хорошо.
[00:39:10 --> 00:39:13]  На 9-м, на 9-м, на большой пересмюктивы.
[00:39:14 --> 00:39:19]  Но я думаю, что опять же в этом году нам надо искать здесь
[00:39:19 --> 00:39:21]  здесь, где-то помещение, чтобы построить еще одну,
[00:39:22 --> 00:39:24]  потому что с просьбом с серавельным колбасу.
[00:39:25 --> 00:39:27]  Здесь, кстати, мы сейчас разработываем маленькую камеру.
[00:39:28 --> 00:39:29]  То есть она повышит, чем вашу, то есть три метрова,
[00:39:30 --> 00:39:31]  климатическую, как раз под евро рамы.
[00:39:32 --> 00:39:34]  Вот, вот, 4 до 10 евро рам.
[00:39:35 --> 00:39:37]  Поэтому здесь мы с вами можем посотрудничать.
[00:39:38 --> 00:39:42]  Это очень актуально, потому что после равиалу
[00:39:43 --> 00:39:44]  не у кого вообще ничего нет.
[00:39:45 --> 00:39:47]  Это я в коленке.
[00:39:47 --> 00:39:50]  Сам все разрабатывал, придумывал,
[00:39:51 --> 00:39:53]  консультировался с друзьями, коллегами.
[00:39:54 --> 00:39:56]  Сейчас ближе к лету опять же, повторюсь, влажность.
[00:39:57 --> 00:40:00]  Влажность не исправляет.
[00:40:01 --> 00:40:03]  Влажность не исправляется, мы уже нашли решение.
[00:40:04 --> 00:40:06]  И вот буквально наслечен день, мы ее будем переделывать.
[00:40:07 --> 00:40:09]  Вроде же оборудово не купили, будем переделывать.
[00:40:10 --> 00:40:11]  Ну, скажем, так не передел, делать уник.
[00:40:12 --> 00:40:15]  Вот, вакомный массаж, мы смотрели тоже не поскупились.
[00:40:15 --> 00:40:18]  Да, потому что опять же, залибушку или нет.
[00:40:19 --> 00:40:20]  Ну, вот, покупали.
[00:40:21 --> 00:40:22]  Вот, раствов делает такие, как не было.
[00:40:23 --> 00:40:25]  За грустко помясут, где 150 на 0,5.
[00:40:26 --> 00:40:28]  Мы его целый забиваем.
[00:40:29 --> 00:40:31]  То есть 300 килограммясок надеюсь.
[00:40:32 --> 00:40:34]  Но 300 не влезают, потому что плюс рассол.
[00:40:35 --> 00:40:38]  В среднем получается, берем где-то 120 килограмм.
[00:40:39 --> 00:40:42]  Вот, просоляем, вот, и он практически целый получит.
[00:40:42 --> 00:40:44]  Ну, вот, 120 килограмм получается.
[00:40:45 --> 00:40:48]  Да, потому что плюс рассол, то на то его ходь по...
[00:40:49 --> 00:40:50]  Объем за пол.
[00:40:51 --> 00:40:52]  Время не помясут, получается, на 40 процентов.
[00:40:53 --> 00:40:54]  Вот, объем вакомного массажора.
[00:40:55 --> 00:40:57]  Но это уже, да, необходимо вещь, потому что...
[00:40:58 --> 00:41:01]  Нужно скорость, потому что...
[00:41:03 --> 00:41:04]  Место не так много.
[00:41:05 --> 00:41:07]  И храните вот это все просоливать.
[00:41:08 --> 00:41:09]  Ну, значит, на ребенок.
[00:41:09 --> 00:41:10]  И так далее, конечно, без него.
