[00:00:00 --> 00:00:02]  Попробратно.
[00:22:47 --> 00:22:52]  То мы видим, что галочки горит зеленым, то это условия выполнена.
[00:22:52 --> 00:22:59]  И у нас, по сути, остается только следующую условию для окончания данного конкретного шага.
[00:22:59 --> 00:23:03]  И в тот момент, когда у нас программы начинает работать,
[00:23:03 --> 00:23:10]  мы запускаем и видим, что стрелочками тоже показывается индикация о том,
[00:23:10 --> 00:23:15]  что мы стремимся от текущих параметров к заданам.
[00:23:15 --> 00:23:18]  То есть мы стремимся у илиечки температуры продукта,
[00:23:18 --> 00:23:21]  стремимся, чтобы у нас время прошло именно 50 минут.
[00:23:21 --> 00:23:24]  И температура в камере была заданный.
[00:23:24 --> 00:23:29]  С системами, у которого включен во охлаждение, здесь у нас есть такой параметр охлаждение.
[00:23:29 --> 00:23:33]  Если он включен, то включается система охлаждения,
[00:23:33 --> 00:23:36]  который будет, ну, ахлаждать нашу камеру.
[00:23:36 --> 00:23:43]  Левые индикаторы нам говорят о том, что датчики и т.н. работают в исправном режиме.
[00:23:43 --> 00:23:47]  Следующие индикаторы, мы здесь, например, сейчас поставим 15 градусов и запустим.
[00:23:47 --> 00:23:51]  Вот эти индикаторы показывают нам работают ли,
[00:23:51 --> 00:23:54]  нагревательные элементы в данный конкретный момент.
[00:23:59 --> 00:24:09]  Редактор субтитров А.Сухиашвили
