[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:22:14 --> 00:22:18]  на семинаре и показываю схему рисую на доске.
[00:22:18 --> 00:22:20]  Еще это состоит.
[00:22:20 --> 00:22:23]  То есть, если не достаточно средств на приблюдение
[00:22:23 --> 00:22:26]  персонального стационального инъектора,
[00:22:26 --> 00:22:28]  а цельник у него довольно серьезной.
[00:22:28 --> 00:22:34]  На рынке существует много ногое говечных инъекторов,
[00:22:34 --> 00:22:38]  таких известных брентов, но они как правило западного производства.
[00:22:38 --> 00:22:43]  Ну и наши действия сейчас некоторые компании и их производят.
[00:22:43 --> 00:22:45]  Поэтому, при себе можно приобрести,
[00:22:45 --> 00:22:47]  и позволяют средства.
[00:22:47 --> 00:22:49]  Если не позволяют, то есть, если иногда,
[00:22:49 --> 00:22:53]  плашечка тоже можно нормально работать и получать достойную хорошую,
[00:22:53 --> 00:22:55]  как свою продукцию.
[00:22:55 --> 00:22:57]  В данном момент, я сейчас и буду делать.
[00:22:57 --> 00:22:59]  Все очень просто.
[00:22:59 --> 00:23:02]  Я просто это делаю вот так.
[00:23:02 --> 00:23:07]  Насыщаю рыбу убить о наш приподнимается.
[00:23:12 --> 00:23:14]  Дев в нашу раствор.
[00:23:16 --> 00:23:20]  Кстати, что в раствор, вот и волочка у нас выпала.
[00:23:20 --> 00:23:22]  Ничего сейчас мы ее на место поставим.
[00:23:22 --> 00:23:26]  В раствор еще входит в рецептуру сахара,
[00:23:26 --> 00:23:32]  что даёт очень в поставу линотку приятного.
[00:23:35 --> 00:23:39]  И краситель, обязательно, потому что, как правило,
[00:23:39 --> 00:23:41]  это рыба к вакультуру.
[00:23:41 --> 00:23:46]  Сейчас, так бледенька и имеет нёчен такой хорошей нишними.
[00:23:46 --> 00:23:48]  Вот у нас первый проход.
[00:23:48 --> 00:23:50]  Видите, что раствор у меня слегка раствор,
[00:23:50 --> 00:23:52]  и вот и был добавлен.
[00:23:52 --> 00:23:56]  Это у нас прямим разделка, привет, магазином.
[00:23:56 --> 00:23:59]  Ну вот сейчас мы ее завесим.
[00:23:59 --> 00:24:03]  Я ее поставлен на стекане.
[00:24:03 --> 00:24:07]  Вот у нас первый проход у нас с сечка произошла.
[00:24:07 --> 00:24:11]  Посмотрим, сколько мы взяли.
[00:24:11 --> 00:24:13]  Вес наши рыбки.
[00:24:13 --> 00:24:16]  Итак, у нас девятьсот, девяносто грамм.
[00:24:16 --> 00:24:18]  Это первый проход.
[00:24:18 --> 00:24:22]  Так и запишем, первый проход у нас прибавка весе 7%.
[00:24:22 --> 00:24:26]  Реступаем к авторому проходу. Итак, второй проход.
[00:24:30 --> 00:24:37]  Довление у нас порядка болтора, полторы атмосферы.
[00:24:42 --> 00:24:46]  Вот мы сделали второй проход и некоторым.
[00:24:48 --> 00:24:53]  Звесили нашу филюжечку и получили 1,40 грамм.
[00:24:53 --> 00:24:56]  Занесли в наш бортовой журнал.
[00:24:56 --> 00:24:58]  Второй проход.
[00:24:58 --> 00:25:00]  1,40 кг.
[00:25:00 --> 00:25:03]  И того, мы поймали 13%.
[00:25:03 --> 00:25:05]  Все, на этом достаточно.
[00:25:05 --> 00:25:08]  Больше принципи не надо.
[00:25:08 --> 00:25:13]  Поэтому гонегры производители эту цифру могут и 15 делать и 20.
[00:25:13 --> 00:25:19]  Но это перевода, потом всякими последствиями типа выделения в лагии,
[00:25:19 --> 00:25:22]  как перевагку мупаковки, там тренарезки и так далее.
[00:25:22 --> 00:25:24]  Я считаю, что 13%.
[00:25:24 --> 00:25:26]  Это очень хороший выход.
[00:25:26 --> 00:25:30]  Далее у нас мы досаливаем сухим посволом.
[00:25:30 --> 00:25:35]  Мы вносим в это 2% рыбы морской соли.
[00:25:35 --> 00:25:38]  морской соли специально комплексная добавка,
[00:25:38 --> 00:25:39]  одно из вес на фирмы.
[00:25:39 --> 00:25:45]  И все, что я ее натурываю,
[00:25:45 --> 00:25:50]  и отправлю на пару суток холодильных.
[00:25:50 --> 00:25:53]  Кстати, она уже будет запрогатова.
[00:25:53 --> 00:25:55]  Она будет созревше солененькое,
[00:25:55 --> 00:25:56]  слабо солененькое.
[00:25:56 --> 00:26:01]  Виду будет очень плотная, очень плотная.
[00:26:01 --> 00:26:04]  Вот этот специфический вкус.
[00:26:04 --> 00:26:06]  Да, запах, то есть в изапах комбикармов,
[00:26:06 --> 00:26:08]  вот это, как по культуры,
[00:26:08 --> 00:26:11]  который кушает рыбка, употребляет в пищу.
[00:26:11 --> 00:26:15]  Она, кстати, особенно сильно на морской форели,
[00:26:15 --> 00:26:19]  чувствуется вот этот запах комбикорма, когда рыбу удар изделает.
[00:26:19 --> 00:26:22]  А после нехтирования этот запах полностью проходит.
[00:26:22 --> 00:26:24]  Она уже ближе к дикам, и обе становится.
[00:26:24 --> 00:26:27]  Поэтому нехтированная только на пользу этой рыбы.
[00:26:27 --> 00:26:31]  В общем-то, вот и все весь процесс и нехтированная рыба.
[00:26:31 --> 00:26:34]  Далее мы с вами будем ее коптить,
[00:26:34 --> 00:26:36]  и дальше будем отслеживать наши цифры.
[00:26:36 --> 00:26:38]  И эти цифры вас приятно удивят.
[00:26:38 --> 00:26:41]  Мы поймаем очень хорошие выхода, поверите.
[00:26:41 --> 00:26:43]  Всего доброго пока.
[00:26:43 --> 00:26:44]  До копчения.
[00:27:01 --> 00:27:06]  Редактор субтитров А.
