[00:00:00 --> 00:00:06]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[00:22:05 --> 00:22:07]  Есть традиционные технологии дыма образования, когда мы
[00:22:07 --> 00:22:09]  используем штрения щипы.
[00:22:09 --> 00:22:13]  И тогда получается более такой интенсивный, более деревенский
[00:22:13 --> 00:22:16]  ромат копчения, который кому-то нужен, кому-то не нужен.
[00:22:16 --> 00:22:18]  И вот это третий способ копчения.
[00:22:18 --> 00:22:22]  И в принципе, копчения на щипе это самый популярный,
[00:22:22 --> 00:22:24]  ну, не то, что сейчас умение популярной, но он самый
[00:22:24 --> 00:22:27]  такой понятный всем, да?
[00:22:27 --> 00:22:30]  И мы уже порядка 10 лет продвигаем технологию фрикционного
[00:22:30 --> 00:22:32]  копчения мяса.
[00:22:32 --> 00:22:35]  И продвигаем ее очень успешно.
[00:22:35 --> 00:22:37]  Вот недавно мы на двух месяцев комбинаток запустили
[00:22:37 --> 00:22:41]  наши камеры с фрикционным дыма генератером 4-2 храмки.
[00:22:41 --> 00:22:44]  Это вообще загрузкой получается, две тонные.
[00:22:44 --> 00:22:48]  Одну двух храмку загрузкой 500 килограмм запустили.
[00:22:48 --> 00:22:54]  И они по сути работают совместно с немецкими камерами, там
[00:22:54 --> 00:23:00]  раих, вемок, шрётер, которые работают на щипе.
[00:23:00 --> 00:23:04]  И отдел продаж не заметил раизнится.
[00:23:04 --> 00:23:07]  Понимаете, это щиповую фрикционный дыма генератер продается
[00:23:07 --> 00:23:11]  вся продукция производственной четырёх камерых и продается
[00:23:11 --> 00:23:12]  одним валом.
[00:23:12 --> 00:23:15]  То есть никакого, особенно негатива не было никакого
[00:23:15 --> 00:23:18]  абсолютно, то есть люди заменили технологию дыма генерации
[00:23:18 --> 00:23:23]  на щипе на более эффективную и клиент разницы не заметил.
[00:23:23 --> 00:23:27]  И вот здесь вопрос по качеству некомпромитируют лекачество
[00:23:27 --> 00:23:30]  продукции, если мы кообщим на отомизаторе.
[00:23:30 --> 00:23:33]  То есть я ответ на это вопрос знаю, но хочу, чтобы роман
[00:23:33 --> 00:23:36]  более подробно прокомментировать момент.
[00:23:36 --> 00:23:40]  Вы знаете, как выстраиваются взаимотношения склиентом, я
[00:23:40 --> 00:23:42]  зайду из далека, скажем так, как выстраиваются в нашем
[00:23:42 --> 00:23:46]  случае отношения склиентом, тогда когда мы получаем какой-либо
[00:23:46 --> 00:23:49]  техническое задание, либо приходим с нашей инцативой,
[00:23:49 --> 00:23:53]  а то, что вот мы такие ребята представляем дым на технологии,
[00:23:53 --> 00:23:54]  давайте пробовать.
[00:23:54 --> 00:23:56]  Все начинается тестов.
[00:23:56 --> 00:23:59]  Так мы завем тест драй.
[00:23:59 --> 00:24:03]  На моменте тест драйва участвует некий круг людей, скажем,
[00:24:03 --> 00:24:06]  так механическое службы, техническое технологическое
[00:24:06 --> 00:24:08]  служба, те кто в курсе.
[00:24:08 --> 00:24:11]  И вот именно в отете люди, а их достаточно ограниченное
[00:24:11 --> 00:24:16]  количество, они вначале, ну скажем так, понимают некоторые
[00:24:16 --> 00:24:20]  отличие от продукта к обчёного щипой и продукта к обчёного
[00:24:20 --> 00:24:21]  альтернативным к обчениям.
[00:24:21 --> 00:24:26]  Тогда когда это выходит уже за рамки тест драйва, либо тогда
[00:24:26 --> 00:24:29]  когда это выносится на более расширную закрыту, и
[00:24:29 --> 00:24:31]  в сегустацию мы требуем закрытые регустации.
[00:24:31 --> 00:24:34]  В сравнении с традиционным к обчениям продуктом, да?
[00:24:34 --> 00:24:38]  Люди, которые не понимают, что они пробуют, если ты мне
[00:24:38 --> 00:24:39]  указал пальцем.
[00:24:39 --> 00:24:43]  Как правило, одноотно мои практики не буду врать в 90 случаях,
[00:24:43 --> 00:24:46]  никто не понимает, различие абсолютно никто не понимает.
[00:24:46 --> 00:24:51]  Потому что по сути, ну что, мы имеем, мы имеем либо щипу,
[00:24:51 --> 00:24:54]  либо оффрекционный брусок, а тут мы имеем все то же самое,
[00:24:54 --> 00:24:57]  только в жидком виде, которые потом перерождаются с помощью
[00:24:57 --> 00:25:00]  энергии жатого воздуха в точном такой же дым.
[00:25:00 --> 00:25:05]  И по сути, на готовом продукте разница не ощущается от слова совсем.
[00:25:05 --> 00:25:10]  Плюс ко всему возвращаясь к производству дымных концентратов, и возвращаясь
[00:25:10 --> 00:25:16]  к тому, как мы говорили, что у нас все дымы основаны на трех,
[00:25:16 --> 00:25:20]  скажем так, мощных, столпах, мощных фундаментах, это фенологи,
[00:25:20 --> 00:25:24]  слоты и карбанили их количество инцидержания внутри, как
[00:25:24 --> 00:25:29]  раз регулируется насыщенность, аромата, насыщенность, вкуса, насыщенность
[00:25:29 --> 00:25:33]  цвета, то есть на моменте разработки технического задания и общения
[00:25:33 --> 00:25:37]  склигента, мы уже понимаем, допустим, есть регионы, которые
[00:25:37 --> 00:25:41]  хотят очень, скажем так, насыщенный цвет, но в то же время
[00:25:41 --> 00:25:45]  нужно получить очень спокойный, военный вкус, копчения,
[00:25:45 --> 00:25:48]  мы уже понимаем, какой материал в этом случае мы будем предлагать
[00:25:48 --> 00:25:49]  к клиенту.
[00:25:49 --> 00:25:52]  Если мы нададим любые альтернативы, попробовать мы покажем
[00:25:52 --> 00:25:57]  все на что мы способны, но тем не менее уже будет понятно, что
[00:25:57 --> 00:25:59]  мне нужен дым-x.
[00:25:59 --> 00:26:02]  Приезжая в другой регион, там где традиции по копчению, по готовному
[00:26:02 --> 00:26:05]  продукту складывается совершенно противоположным образом,
[00:26:05 --> 00:26:09]  где допустим нам дают задание получить очень низкий
[00:26:09 --> 00:26:13]  цвет, очень такой мягкий золотистый, но с ярко выраженым вкусом
[00:26:13 --> 00:26:14]  ароматом.
[00:26:14 --> 00:26:16]  Мы понимаем, что нам нужен продукт игрик.
[00:26:16 --> 00:26:20]  И повторюсь, что как раз продукты иксы игры, регулируется
[00:26:20 --> 00:26:23]  внутренним содержанием, финоловки, слота и карбанилов, а это
[00:26:23 --> 00:26:26]  как раз органические вещества, которые входят состав дыма.
[00:26:26 --> 00:26:28]  Тут еще можно и добавить.
[00:26:28 --> 00:26:29]  Да, конечно, конечно.
[00:26:29 --> 00:26:33]  Очень важный момент, вот использование отомизации, что я
[00:26:33 --> 00:26:38]  тоже прощаю внимание, то, что у вас есть полноценный способ,
[00:26:38 --> 00:26:40]  максимально стабилизировать качество.
[00:26:40 --> 00:26:44]  То есть если вы выборали конкретный купаж дыма, он у вас всегда
[00:26:44 --> 00:26:45]  будет один у тот же.
[00:26:45 --> 00:26:48]  Стощая, наверное, неизвода будет один у тот же цвет.
[00:26:48 --> 00:26:50]  То есть на крупных предприятиях мы всегда знали,
[00:26:50 --> 00:26:57]  что есть проблемы нервономерного копчения почти всегда.
[00:26:57 --> 00:27:02]  Чуть сфетли, вот сегодня, так, завтра, и в них тема,
[00:27:02 --> 00:27:05]  такая не перемешивает продукцию, подмешивает сюда.
[00:27:05 --> 00:27:08]  Потом получился бы чуть-чуть не, они с темной продукции
[00:27:08 --> 00:27:09]  перемешивают.
[00:27:09 --> 00:27:14]  Если это использование, это технологию позволяет максимально
[00:27:14 --> 00:27:17]  стабилизировать цвет на выходе цвет и ароматику все остальное.
[00:27:17 --> 00:27:20]  Но не зависит в качество щипы, которые используются.
[00:27:20 --> 00:27:24]  Они зависят от технологических процессов, которые не уансов,
[00:27:24 --> 00:27:27]  которые возникли при призвотств или сушки щипы или
[00:27:27 --> 00:27:28]  его поковки.
[00:27:28 --> 00:27:30]  То же самое относится и к общению.
[00:27:30 --> 00:27:34]  Как только чуть-чуть подкутят гайки с точки зрения их зостов,
[00:27:34 --> 00:27:36]  то есть выбросов атмосферу.
[00:27:36 --> 00:27:41]  Сразу же в Европе, в принципе, там, наверное, делается.
[00:27:41 --> 00:27:46]  Вы не представляете, насколько сложные механизмы по удалению дымы
[00:27:46 --> 00:27:49]  из атмосферы используются на немецких предприятиях.
[00:27:49 --> 00:27:52]  Это либо кателизаторы, которые нужно обслуживать, которые
[00:27:52 --> 00:27:54]  обслуживали, которые стоят с мошадшей денег.
[00:27:54 --> 00:27:59]  Либо это электрорстатические фильтры, после которых такие высаживают
[00:27:59 --> 00:28:01]  поле, порядка 50-60 квадратных метров.
[00:28:01 --> 00:28:06]  Тут разосыпают какие-то специальные граммы, которые взаимодействуют
[00:28:06 --> 00:28:11]  с целого два, которые поступают в этих гранил и эти граммы
[00:28:11 --> 00:28:14]  как раз перерабатывают целого два, и там остальные фенолы,
[00:28:14 --> 00:28:16]  в какую-то новую фракцию.
[00:28:16 --> 00:28:18]  То есть это супер дорогая история.
[00:28:18 --> 00:28:22]  То есть, у нас, конечно, гораздо проще в стране с этой темой,
[00:28:22 --> 00:28:26]  но, то же самое, в принципе, про кризис профессионализм,
[00:28:26 --> 00:28:29]  во всех областях его подчеркнуло от момент.
[00:28:29 --> 00:28:31]  И возвращаюсь к цивапросу к цвету.
[00:28:31 --> 00:28:33]  Свет сразу, конца драть и высутствует, да?
[00:28:33 --> 00:28:35]  Конечно, конечно, конечно.
[00:28:35 --> 00:28:36]  Конечно.
[00:28:36 --> 00:28:43]  Визуально, но, если вы оценивать в многих оттенках, вы имеете в виду
[00:28:43 --> 00:28:44]  в концентрате в самом, да?
[00:28:44 --> 00:28:47]  Ну, он коричневан, темно-коричневый, да?
[00:28:47 --> 00:28:50]  Если вот смотреть на просвет, ну, можно сказать,
[00:28:50 --> 00:28:52]  что это даже больше в красной цвет.
[00:28:52 --> 00:28:54]  Это будет зависеть от того, как мы материал предлагаемый
[00:28:54 --> 00:28:55]  или используем вашим случае.
[00:28:55 --> 00:28:58]  Абсолютно одинаковый, абсолютно.
[00:28:58 --> 00:29:01]  Давайте так, отомизация — это одна из грани,
[00:29:01 --> 00:29:03]  вы, как роман говорил, что у нас существует
[00:29:03 --> 00:29:07]  дымыгенератор Тлени, тридцованный дымыгенератор и отомизатор.
[00:29:07 --> 00:29:11]  По сути, все режимы, которые задаются внутри термокамеров,
[00:29:11 --> 00:29:14]  процесса диатомизации, они не чем не отличаются.
[00:29:14 --> 00:29:18]  Только лишь тем, что мы закрываем заслонки при току и вытяжки.
[00:29:18 --> 00:29:19]  Все, больше ничего.
[00:29:19 --> 00:29:22]  И еще, кстати, экономический эффект.
[00:29:22 --> 00:29:26]  У нас момент отомизации камера находится полной паузе.
[00:29:26 --> 00:29:29]  То есть она полностью останавливлена, и в этот момент
[00:29:29 --> 00:29:30]  работает только форсунки.
[00:29:30 --> 00:29:33]  Камера не подогревает сама себя,
[00:29:33 --> 00:29:36]  а камера не работает для конъекции воздуха.
[00:29:36 --> 00:29:38]  Отомизация идет циклична.
[00:29:38 --> 00:29:40]  То есть циклой работы форсунок,
[00:29:40 --> 00:29:42]  далее краткий, скажем так, шаг конъекции.
[00:29:42 --> 00:29:43]  Мы это называем.
[00:29:43 --> 00:29:47]  Тогда когда то облака дымы, которые мы с нагнали,
[00:29:47 --> 00:29:51]  мы его просто напросты, да, перемешиваем внутрь камеры.
[00:29:51 --> 00:29:52]  Вот и все.
[00:29:52 --> 00:29:54]  В этот момент идет хорошая отгизе.
[00:29:54 --> 00:29:56]  На продукт, к части остается на стенках.
[00:29:56 --> 00:30:00]  И все, что мы потом делаем, когда переходим на шокварке,
[00:30:00 --> 00:30:03]  при повышении влажности, на продукте уже произошло отгизе.
[00:30:03 --> 00:30:06]  И молекулы, соединились соболочкой, либо просто
[00:30:06 --> 00:30:07]  с поверхностью продукта.
[00:30:07 --> 00:30:10]  А все, что осталось на стенках, так как ниже,
[00:30:10 --> 00:30:13]  века все нагрета, все это смывается и стеть на образу.
[00:30:13 --> 00:30:15]  И камера остается абсолютно чистый.
[00:30:15 --> 00:30:20]  Если складывать, если складывать, все экономические составляющие,
[00:30:20 --> 00:30:23]  то на выходе получается, в переспективе,
[00:30:23 --> 00:30:29]  применение давной технологии, но значительно выгоднее, на самом деле.
[00:30:29 --> 00:30:32]  Честно могу сказать, мы не имеем опыта в разрезе,
[00:30:32 --> 00:30:34]  скажем так, в ваших интересов, да,
[00:30:34 --> 00:30:36]  ремесленных крафтовых колбас.
[00:30:36 --> 00:30:38]  Наверное, самым первым первым первым ласточкой
[00:30:38 --> 00:30:41]  будет как раз от камера, который Глепрсивее поставил.
[00:30:41 --> 00:30:45]  Если Глеп позволит, мы посмотрим в разрезе применение,
[00:30:45 --> 00:30:47]  да, вместе посчитаем, сделаем чеклист,
[00:30:47 --> 00:30:50]  которые мы делали экономической эффективности,
[00:30:50 --> 00:30:53]  которые мы делали для применения, скажем так,
[00:30:53 --> 00:30:55]  в индустрии глубокыми аспироватки,
[00:30:55 --> 00:30:57]  ну, в больших предприятиях, да.
[00:30:57 --> 00:30:59]  Там достаточно большой спектр,
[00:30:59 --> 00:31:01]  который закладывается.
[00:31:01 --> 00:31:03]  То есть это уменьшение человек часов на мой,
[00:31:03 --> 00:31:05]  это уменьшение, мой, исчисрец в закубке,
[00:31:05 --> 00:31:08]  это уменьшение, складских площадей на хранение.
[00:31:08 --> 00:31:10]  То есть, там масса масса всего,
[00:31:10 --> 00:31:12]  что нужно учесть для того,
[00:31:12 --> 00:31:14]  чтобы мы могли правильно оценить
[00:31:14 --> 00:31:17]  экономической эффективность применения данной технологии.
[00:31:17 --> 00:31:19]  И как правило, даже не только в компьютерной модели,
[00:31:19 --> 00:31:22]  не только внутри этого файла,
[00:31:22 --> 00:31:24]  настроится экономической эффективность,
[00:31:24 --> 00:31:26]  но и в применении уже на предприятии.
[00:31:26 --> 00:31:28]  Мы же не первый год этим занимаемся,
[00:31:28 --> 00:31:30]  и уже есть, скажем так, реализованной проекты,
[00:31:30 --> 00:31:34]  которые себя хорошо зарекомендовали, люди на этом работают.
[00:31:34 --> 00:31:38]  И самое важное, что нужно учесть, это как раз знаете,
[00:31:38 --> 00:31:41]  о тех рисках, о которых говорила роман,
[00:31:41 --> 00:31:45]  пожара безопасность, вакальные пожары.
[00:31:45 --> 00:31:47]  Это действительно очень мощный такой фактор,
[00:31:47 --> 00:31:49]  которая подводит,
[00:31:49 --> 00:31:52]  принятие решения в сторону этой технологии.
[00:31:52 --> 00:31:56]  То есть риски потерять прилавок из-за пожара сегодня,
[00:31:56 --> 00:31:59]  но они достаточно больше, чем ты чуть переплатишь,
[00:31:59 --> 00:32:00]  применяют эту технологию,
[00:32:00 --> 00:32:03]  даже и вообще я если это случится.
[00:32:03 --> 00:32:04]  То есть, я забыл,
[00:32:04 --> 00:32:07]  сказать про там один из случаев,
[00:32:07 --> 00:32:09]  на одном из мясо комменатов,
[00:32:09 --> 00:32:12]  в них стояла потокого линия с производительностью порядка 2,
[00:32:12 --> 00:32:13]  тонн в час.
[00:32:13 --> 00:32:16]  Вставить, ну колбасы выходят с произведительностью 2,
[00:32:16 --> 00:32:17]  тонн в час.
[00:32:17 --> 00:32:20]  Стоимость линии там, пряты, там, трех 4 млн евро.
[00:32:20 --> 00:32:25]  И они все там, ну вот мы что-то думаем,
[00:32:25 --> 00:32:27]  вот мы, что-то вот вашей технологии,
[00:32:27 --> 00:32:29]  ну какая-то она может быть не очень хорошая,
[00:32:29 --> 00:32:31]  может быть там какая-то химия,
[00:32:31 --> 00:32:33]  ну то есть вот такая волежная была такая с новым горим,
[00:32:33 --> 00:32:36]  что ну есть адекватные преимущества.
[00:32:36 --> 00:32:39]  Ну зачем вы там, причём смотрите на такой потокого линии,
[00:32:39 --> 00:32:42]  стоит 5 мощнейших дымы генераторов мощных,
[00:32:42 --> 00:32:44]  ка из которых 4 работают постоянно,
[00:32:44 --> 00:32:46]  а один запасной,
[00:32:46 --> 00:32:48]  чтобы один на прелени работы,
[00:32:48 --> 00:32:50]  это его помыли там почистили,
[00:32:50 --> 00:32:52]  из-за того, что применяется такие дымы генераторы,
[00:32:52 --> 00:32:55]  все линия становливается на судки.
[00:32:55 --> 00:32:58]  Песадец, как сколько стоит остановка линии на судки,
[00:32:58 --> 00:32:59]  и туда за целая бригада,
[00:32:59 --> 00:33:01]  за лазит и начинается химии,
[00:33:01 --> 00:33:04]  все это дело вычищать прямо по полной программе,
[00:33:04 --> 00:33:06]  сколько стоит люди, сколько стоит химия,
[00:33:06 --> 00:33:07]  сколько стоит остановка линии,
[00:33:07 --> 00:33:09]  стоимостью 5 мл в евро в день.
[00:33:10 --> 00:33:12]  Вот, а сколько стоит пожар?
[00:33:12 --> 00:33:15]  У них сгорелая этот сельком здания.
[00:33:15 --> 00:33:17]  Вот после этого не нужно было им объяснять,
[00:33:17 --> 00:33:20]  потому что есть такие прикольные, всякие штуки,
[00:33:20 --> 00:33:23]  дополнительные бонусы,
[00:33:23 --> 00:33:25]  то есть ничего не нужно объяснять.
[00:33:25 --> 00:33:28]  То есть желательно, конечно, когда аргументы
[00:33:28 --> 00:33:30]  это не жаренный петух, который колюлет,
[00:33:30 --> 00:33:31]  то, собственно, и мозги,
[00:33:31 --> 00:33:33]  когда человек оценивает какие,
[00:33:33 --> 00:33:35]  современные технологии, какие,
[00:33:35 --> 00:33:36]  суссторевшие, как бы,
[00:33:36 --> 00:33:39]  и слушает не людей, которые хвалятся его деды,
[00:33:39 --> 00:33:40]  деды, у всех замечательно,
[00:33:40 --> 00:33:43]  но технологии у деды и технологии у нас все равно будет разные,
[00:33:43 --> 00:33:44]  как бы, да?
[00:33:44 --> 00:33:47]  Вот, и просто желательно, не доводить до этого,
[00:33:47 --> 00:33:48]  когда возникает какая-то сложно,
[00:33:48 --> 00:33:50]  слеба с соседями,
[00:33:50 --> 00:33:52]  либо с исчипой, либо сестабильным,
[00:33:52 --> 00:33:54]  с либо с пожаром, но не важно.
[00:33:54 --> 00:33:57]  То есть мы сейчас можем нагнать здесь кучу всякий строшилы, да?
[00:33:57 --> 00:33:59]  Но сам факт, просто, ну,
[00:33:59 --> 00:34:01]  из опыта мы можем поделиться тем,
[00:34:01 --> 00:34:05]  что другие прошли и вот максимально актуальную информацию до нести.
[00:34:05 --> 00:34:07]  Роман, подскажет, пожалуйста,
[00:34:07 --> 00:34:10]  да, после месяц в коптюме поместить продукт,
[00:34:10 --> 00:34:12]  колбас, в частности, в натуральной оболочке,
[00:34:12 --> 00:34:15]  и выскусственной оболочке, как в вашей технологии
[00:34:15 --> 00:34:17]  оповлияет на ответоргонолептику.
[00:34:17 --> 00:34:20]  А на завете, пожалуйста, искусственную оболочку,
[00:34:20 --> 00:34:22]  что вы имеете в виду, какая имена?
[00:34:22 --> 00:34:25]  Фабил с парадой мы проницемы.
[00:34:26 --> 00:34:28]  Да, правильно, я понимаю.
[00:34:28 --> 00:34:30]  То есть, одновременно, допустим,
[00:34:30 --> 00:34:33]  если это чревоговежа, да, и фабюс.
[00:34:33 --> 00:34:36]  Ну, смотрите, хорошего вопрос на самом деле.
[00:34:36 --> 00:34:39]  Я бы, честно говоря, не рискнул бы этого делать, объясню почему.
[00:34:39 --> 00:34:44]  Во-первых, для меня, я бы просто технологически не стал бы эти две оболочки,
[00:34:44 --> 00:34:46]  даже традиционным дымом коптить.
[00:34:46 --> 00:34:49]  Если вы это делаете, возможно, стоит попробовать этой из дымом.
[00:34:49 --> 00:34:51]  У меня такого опыта не было,
[00:34:51 --> 00:34:54]  ну, по крайней мере, я бы, наверное, предпочел разделить.
[00:34:54 --> 00:34:59]  Я так понимаю, что из-за того, что у вас заявка может строиться таким образом,
[00:34:59 --> 00:35:02]  что пересечение в одной камере и того и другого, да,
[00:35:02 --> 00:35:04]  и вы вынуждены комбинировать.
[00:35:04 --> 00:35:06]  Если у вас это получается традиционным способом,
[00:35:06 --> 00:35:08]  то здесь одна значенно получится,
[00:35:08 --> 00:35:12]  и с помощью нашего предложения нашего продукта.
[00:35:12 --> 00:35:14]  А какие негативные моменты могут быть?
[00:35:14 --> 00:35:14]  Еще раз, пожалуйста,
[00:35:14 --> 00:35:17]  а негативные моменты, которые могут возникнуть в случае,
[00:35:17 --> 00:35:21]  если искусственное, и единственное негативное моменту,
[00:35:21 --> 00:35:24]  вот, который сейчас вот быстро прям приходит в голову,
[00:35:24 --> 00:35:26]  наверное, знаете какой,
[00:35:26 --> 00:35:29]  на самом деле предложение на рынке в России есть,
[00:35:29 --> 00:35:32]  именно дымных концентратов, именно технологий.
[00:35:32 --> 00:35:36]  Но я вам рекомендую все-таки, наверное, остаться с нами.
[00:35:36 --> 00:35:38]  Это просто как рекомендация, для того, чтобы мы могли
[00:35:38 --> 00:35:41]  эту технологию поставить и настроить правильно.
[00:35:41 --> 00:35:43]  Потому что там есть определённые нюансы,
[00:35:43 --> 00:35:48]  которые многие и другие посты вщики просто на простой ли бы не знает, либо игнорировать.
[00:35:48 --> 00:35:53]  Поэтому просто как рекомендация для того, чтобы избежать техниготивных,
[00:35:53 --> 00:35:57]  скажем так, того, негативного опыта и больных ошибок,
[00:35:57 --> 00:36:00]  которые были получены в прошлом в России,
[00:36:00 --> 00:36:05]  когда технологию хатично, знаете, как пытались интегрировать
[00:36:05 --> 00:36:07]  в середине 90-х начали двухтысячных,
[00:36:07 --> 00:36:10]  потом она встала на Паузу, за того,
[00:36:10 --> 00:36:12]  что я скажу, мало компетентное,
[00:36:12 --> 00:36:15]  и здесь, по каким-то причинам пытались внедрить.
[00:36:15 --> 00:36:19]  Да? Вот сейчас важно не повторять эти хорошие бы.
[00:36:19 --> 00:36:21]  Мы научились на ошибках прошлого,
[00:36:21 --> 00:36:24]  и сейчас сможем сполную уверенностью сказать,
[00:36:24 --> 00:36:26]  что мы знаем те нюансы,
[00:36:26 --> 00:36:29]  которые помогут избежать в этих негативных моментов.
[00:36:29 --> 00:36:31]  Негативные, можно добавлю.
[00:36:31 --> 00:36:34]  Вот, то есть есть посты вщики,
[00:36:34 --> 00:36:38]  которые поставляют грязные дымы с визвесами.
[00:36:38 --> 00:36:43]  Примерно замись изобиваются каналы подачи дыма.
[00:36:43 --> 00:36:45]  То есть, это наш опыт.
[00:36:45 --> 00:36:48]  То есть есть дешевые дымы, которые можно использовать,
[00:36:48 --> 00:36:50]  и почему ароматико классно вообще.
[00:36:50 --> 00:36:53]  То есть они классные и цветают хорошие, но не грязные.
[00:36:53 --> 00:36:56]  Даже не помогает пропускание через фильтра,
[00:36:56 --> 00:36:57]  первый момент.
[00:36:57 --> 00:37:00]  Второй момент важный, в том, что все-таки
[00:37:00 --> 00:37:06]  отимизация она очень требовательная кровномерная сушка.
[00:37:06 --> 00:37:09]  Если у вас просушен продукт неправильно,
[00:37:09 --> 00:37:11]  сщиповывающей повыдным дым,
[00:37:11 --> 00:37:12]  это еще может где-то проглотить.
[00:37:12 --> 00:37:14]  Фрикционно может проглотить,
[00:37:14 --> 00:37:16]  если у вас неравномерная сушка на отимизации
[00:37:16 --> 00:37:19]  вас это были, цвет будет неравноменны.
[00:37:19 --> 00:37:21]  И мы здесь столкнулись интересно,
[00:37:21 --> 00:37:25]  что в наших индустриальных камерах больших сушками,
[00:37:25 --> 00:37:28]  но одна из самых равноменных индустрии вообще.
[00:37:28 --> 00:37:29]  То есть ее можно сравнивать с ве,
[00:37:29 --> 00:37:32]  мы померкно, как на ве, маги сушца.
[00:37:32 --> 00:37:33]  Вот и благодаря этому отимизация,
[00:37:33 --> 00:37:35]  наших камереполучается идеально.
[00:37:35 --> 00:37:38]  Вот на других европейских производителей
[00:37:38 --> 00:37:39]  я не буду их называть.
[00:37:39 --> 00:37:41]  Есть целый ряд производителей,
[00:37:41 --> 00:37:43]  которые сушат неравномерно.
[00:37:43 --> 00:37:45]  Но это не очень важно, когда используется
[00:37:45 --> 00:37:47]  на проще по выдума генерата.
[00:37:47 --> 00:37:49]  То есть там есть какой-то градиент,
[00:37:49 --> 00:37:51]  но он как бы несильный заметен.
[00:37:51 --> 00:37:53]  Немцы приходят с таким городом,
[00:37:53 --> 00:37:55]  видом, и говоря, что это как у нас
[00:37:55 --> 00:37:56]  самый лучший, но и пиполховает.
[00:37:56 --> 00:37:58]  То есть, прокатывает этой истории.
[00:37:58 --> 00:38:01]  Я знаю, что если мы русский придем
[00:38:01 --> 00:38:02]  русский производитель оборуду,
[00:38:02 --> 00:38:03]  мне скажу, что это что-то,
[00:38:03 --> 00:38:05]  что-то, у нас какой-то градиент есть,
[00:38:05 --> 00:38:07]  что нам скажу, что вы не годяй,
[00:38:07 --> 00:38:08]  по-хоя боруду не делаете,
[00:38:08 --> 00:38:09]  а вот немцы лучше.
[00:38:09 --> 00:38:10]  Поэтому, у нас нет в возможности,
[00:38:10 --> 00:38:13]  всем говорить о том, что и так хорошо.
[00:38:13 --> 00:38:14]  Так не хорошо. Вот.
[00:38:14 --> 00:38:16]  Что вы тебя знаете?
[00:38:16 --> 00:38:17]  И вам, наверное, сет.
[00:38:17 --> 00:38:18]  Цвет разные будет.
[00:38:18 --> 00:38:19]  Цвет просто разные будет.
[00:38:19 --> 00:38:21]  Очень важно подсушить правильно.
[00:38:21 --> 00:38:22]  А вы уйти, конечно,
[00:38:22 --> 00:38:23]  сомогательство,
[00:38:23 --> 00:38:23]  это что вы здесь,
[00:38:23 --> 00:38:24]  сенедини?
[00:38:24 --> 00:38:25]  Да.
[00:38:25 --> 00:38:25]  Да.
[00:38:25 --> 00:38:26]  Да.
[00:38:26 --> 00:38:27]  Да.
[00:38:27 --> 00:38:28]  Я бы здесь, наверное,
[00:38:28 --> 00:38:30]  воздержался от применения данной технологии.
[00:38:30 --> 00:38:33]  А, опять же, перевожу это в масштабе
[00:38:33 --> 00:38:34]  промышленной.
[00:38:34 --> 00:38:36]  Во-первых, промышленной масштаб.
[00:38:36 --> 00:38:38]  Подразумевает огромное количество рам.
[00:38:38 --> 00:38:39]  Внутри.
[00:38:39 --> 00:38:40]  Камер.
[00:38:40 --> 00:38:40]  Да.
[00:38:40 --> 00:38:42]  И я боюсь,
[00:38:42 --> 00:38:45]  будет очень технический сложный реализователь,
[00:38:45 --> 00:38:46]  в намерную установку форсунок,
[00:38:46 --> 00:38:49]  для того, чтобы такое объем вообще на полный дымом.
[00:38:49 --> 00:38:51]  Тут, наверное, все-таки,
[00:38:51 --> 00:38:53]  преимущество мы отдаем традиционному,
[00:38:53 --> 00:38:54]  как ченье однозначно.
[00:38:54 --> 00:38:55]  И по температурам,
[00:38:55 --> 00:38:56]  вы абсолютно правы,
[00:38:56 --> 00:38:59]  потому что все-таки у нас цвет образования,
[00:38:59 --> 00:39:00]  начало цвет образования,
[00:39:00 --> 00:39:01]  да, вот это эффект маяра,
[00:39:01 --> 00:39:05]  он начинается от 42 по моему и в гору,
[00:39:05 --> 00:39:07]  соответственно, да, так как мы не доходим,
[00:39:07 --> 00:39:09]  да, этой зоны,
[00:39:09 --> 00:39:10]  возможно, что...
[00:39:17 --> 00:39:18]  Фордля форша смесь,
[00:39:18 --> 00:39:20]  и существуют другие сухи дымы,
[00:39:20 --> 00:39:21]  ни жидкие о сухи.
[00:39:21 --> 00:39:22]  Да.
[00:39:22 --> 00:39:22]  Да.
[00:39:22 --> 00:39:23]  Да.
[00:39:23 --> 00:39:23]  Да.
[00:39:25 --> 00:39:28]  Да, это в технологов всех есть, вот эти вот
[00:39:28 --> 00:39:30]  многих технологических компании
[00:39:30 --> 00:39:32]  продают эти специальные добавки,
[00:39:32 --> 00:39:34]  которые, прям фашь можно добавлять.
[00:39:34 --> 00:39:35]  Вот, и все-таки, например,
[00:39:35 --> 00:39:37]  в принципе, тоже, как один из вариантов.
[00:39:37 --> 00:39:41]  Я еще не дошел до одного из продуктов,
[00:39:41 --> 00:39:43]  которые у нас тоже есть в Сортименте,
[00:39:43 --> 00:39:44]  вы, наверное, знаете,
[00:39:44 --> 00:39:46]  что, давным давно вообще технологию
[00:39:46 --> 00:39:48]  копчения применяли просто для сохранения продукты,
