[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[00:26:09 --> 00:26:11]  не работает, в общем-то, на обеспечении пяти точек.
[00:26:11 --> 00:26:14]  Ребята очень эффективно развивается.
[00:26:14 --> 00:26:19]  То есть, рекомендация такая, либо для начала
[00:26:19 --> 00:26:21]  сстреледущего саномяти, в том числе может быть
[00:26:21 --> 00:26:23]  именомяти холодного копчения.
[00:26:23 --> 00:26:26]  Так, добрать камеру для колудного копчения.
[00:26:26 --> 00:26:29]  Дегаячего копчения термоками, выживаются за 150.
[00:26:29 --> 00:26:31]  либо с концентрируется на выбебе.
[00:26:31 --> 00:26:34]  Вот, пары, есть специальные решения,
[00:26:34 --> 00:26:36]  для колудного копчения, которые позволят копить
[00:26:36 --> 00:26:39]  не тавелицонус, способом, пошли часов вот с такой камере.
[00:26:39 --> 00:26:43]  А коптить с помощью электростатики,
[00:26:43 --> 00:26:46]  всего лишь, там есть разные вряды, вот 15 минут
[00:26:46 --> 00:26:48]  был полутор часов.
[00:26:48 --> 00:26:53]  Время копчения, время как производство рыбы
[00:26:53 --> 00:27:02]  холодного копчения и получается рыбы, действительно,
[00:27:02 --> 00:27:04]  рыба приказного качества.
[00:27:04 --> 00:27:08]  Она более сущная, получается, минимальные потери, нет
[00:27:08 --> 00:27:13]  инстагиров, и вот, к нам недавно, приезжали ребята из
[00:27:13 --> 00:27:18]  компания Акиан, они находятся великом много родиве,
[00:27:18 --> 00:27:20]  приводились с тобой рыбу, которые не таяцона, копчат,
[00:27:20 --> 00:27:23]  в копчат, и очень шести часов на маутингах.
[00:27:23 --> 00:27:25]  Мы вот на этом стали положили две рыбины,
[00:27:25 --> 00:27:28]  рядом с нами есть производство, который уже 20 лет
[00:27:28 --> 00:27:31]  работа на нашем уровне, производят рыбу,
[00:27:31 --> 00:27:32]  электростатическую холодному копчения.
[00:27:32 --> 00:27:36]  Мы положили на стол, развезли рыбы, рыбины попробовали.
[00:27:36 --> 00:27:39]  И по факту не было разницы.
[00:27:39 --> 00:27:44]  Не отличить рыбы, или немножко разные по размеру.
[00:27:44 --> 00:27:46]  То есть, если не значит, что рыбы,
[00:27:46 --> 00:27:48]  значально более разные по размеру, по вкусу, рыбы
[00:27:48 --> 00:27:51]  не отличительную кристатическую холодному копчения
[00:27:51 --> 00:27:53]  и традиционного холодного копчения.
[00:27:53 --> 00:28:00]  То есть на традиционное холодное копчение, они
[00:28:00 --> 00:28:03]  затратили шесть часов, проботы, огромные камеры,
[00:28:03 --> 00:28:06]  ниберее на количество электричества, и всего остального.
[00:28:06 --> 00:28:08]  Она приготовила не рыбы холодного копчения
[00:28:08 --> 00:28:11]  или кристатического, а затратили на было всего 15 минут.
[00:28:11 --> 00:28:13]  И естественно, бюнные компоненты,
[00:28:13 --> 00:28:16]  проникают в рыбу, не запретаться минут.
[00:28:16 --> 00:28:18]  Они проникают в рыбу, примерно за сутки,
[00:28:18 --> 00:28:21]  но эти сутки рыбу уже проходят, не посвяется
[00:28:21 --> 00:28:23]  на выходные камеры.
[00:28:23 --> 00:28:25]  Соответственно, мы не теряем вец.
[00:28:25 --> 00:28:27]  У нас не уменьшаются с уроки хранения, потому что
[00:28:27 --> 00:28:29]  любаше часов не бесит.
[00:28:29 --> 00:28:33]  В те притикоратуре плюс 20, она уже лежит в холодильной камере
[00:28:33 --> 00:28:35]  при нелеготем каратуре.
[00:28:35 --> 00:28:40]  Вот это что, что касается мы сейчас прошись по 4-м виновм
[00:28:40 --> 00:28:42]  готовой продукции, основным это мясох,
[00:28:42 --> 00:28:47]  горячего копчения рыбы, горячего копчения мясох
[00:28:47 --> 00:28:50]  холодного копчения, рыба, колоного копчения, три, категорией
[00:28:50 --> 00:28:55]  из них можно делать в камере и рецепт 15,
[00:28:55 --> 00:29:00]  без дополнительных обций.
[00:29:00 --> 00:29:07]  Значит, в клят со мной с прочему и рецепт 15.
[00:29:07 --> 00:29:13]  Тоже мне проекта треклет назад и прислал фотографию,
[00:29:13 --> 00:29:20]  она есть с этими остагами, где на раме развешена тушки
[00:29:20 --> 00:29:21]  курицы.
[00:29:21 --> 00:29:24]  Они так ловника развешены, потушка мы посчитали,
[00:29:24 --> 00:29:26]  начало с ровно с 15 кг.
[00:29:26 --> 00:29:28]  И по сути, это максимальный о загрузкой, а тема камера,
[00:29:28 --> 00:29:32]  в случае, если мы коптим циликовые тушки курицы.
[00:29:32 --> 00:29:35]  Вот средняя загрузка камера будет по этого 80 кг.
[00:29:35 --> 00:29:40]  Но так принято считать, что загрузка до 100 кг.
[00:29:40 --> 00:29:42]  Если проблудцу копить на сет,
[00:29:42 --> 00:29:44]  это загрузка будет еще не только поменьше,
[00:29:44 --> 00:29:51]  но загружать в дубе и будет красивый рисунок.
[00:29:51 --> 00:29:55]  Вот сетки, что очень, то тоже на домажно.
[00:29:55 --> 00:29:58]  Вот так.
[00:29:58 --> 00:30:01]  Я очень немножко основаюсь отлично,
[00:30:01 --> 00:30:04]  например, профессиональных камер для общения.
[00:30:04 --> 00:30:05]  И бытьовых камер.
[00:30:05 --> 00:30:11]  Наверное, плавно перейду уже отлично нашей термоками
[00:30:11 --> 00:30:17]  вот в общем-то аналогов.
[00:30:17 --> 00:30:22]  Так, прорвами будут олижу от и вечу Александр Фруом.
[00:30:22 --> 00:30:25]  Да, да, очень интересно пропанное управление.
[00:30:25 --> 00:30:27]  Так.
[00:30:27 --> 00:30:29]  Вкратно, встанавливаюсь пропанное управление,
[00:30:29 --> 00:30:33]  но циликому же ее раскрою на веров следующим уже видео,
[00:30:33 --> 00:30:38]  может быть, с ним отдельный стрем либо отдельный видео.
[00:30:38 --> 00:30:41]  Вот потом я про нее расскажу,
[00:30:41 --> 00:30:45]  чтобы я буду рассказать про отлично и на наши термоками.
[00:30:45 --> 00:30:51]  Вот, и на гемудих бутожа стоит загадкой.
[00:30:51 --> 00:30:51]  Почему?
[00:30:51 --> 00:30:53]  Потому что он профессионалей термокамерии,
[00:30:53 --> 00:30:54]  и что мы их опечатано, например,
[00:30:54 --> 00:30:57]  вот мангалов, которым можно скоптить,
[00:30:57 --> 00:31:00]  там кулюцию, за террор самые 20-30 минут,
[00:31:00 --> 00:31:01]  даже быстрее.
[00:31:01 --> 00:31:04]  Северого говодии получаются очень прекрасные продукты.
[00:31:04 --> 00:31:14]  Основное отличие в том, что по сути, когда вы делаете продукт
[00:31:14 --> 00:31:20]  для ещеого копчения, будто в бытовой коптиме,
[00:31:20 --> 00:31:25]  там температура копчения у вас достигает там 250 г.
[00:31:25 --> 00:31:29]  Скажут, так от 180 до 250 г.
[00:31:29 --> 00:31:35]  У нас я как-то был ресторанее в Европолисе,
[00:31:35 --> 00:31:38]  в Бричмола, он называется,
[00:31:38 --> 00:31:41]  они коптят с кумбрюгорящего копчения,
[00:31:41 --> 00:31:43]  например, он таким распособом.
[00:31:43 --> 00:31:46]  Как я говорил, на скорость копчения влияет два факта,
[00:31:46 --> 00:31:48]  ну как минимум до фактор базовых,
[00:31:48 --> 00:31:53]  это температура и жирность продукта.
[00:31:53 --> 00:31:55]  Там дополнительный густотоды могли ли это,
[00:31:55 --> 00:31:57]  есть что-то, там ряд параметров.
[00:31:57 --> 00:31:59]  Ну а чем вы жить императора,
[00:31:59 --> 00:32:01]  тем быстрее происходит копчения,
[00:32:01 --> 00:32:02]  ну буквально разыдно.
[00:32:02 --> 00:32:04]  Например, если мы говорим прохолудное копчение рыбы,
[00:32:04 --> 00:32:07]  чтобы цвет лёг красивый, нужно традиционал копчение.
[00:32:07 --> 00:32:09]  Ну, да, минимум в шесть,
[00:32:09 --> 00:32:10]  все рыбу сень часов.
[00:32:10 --> 00:32:13]  Если мы говорим про горящие копчения рыбы,
[00:32:13 --> 00:32:16]  то нам уже достаточно буквально в 23-ти минут.
[00:32:16 --> 00:32:17]  А,
[00:32:17 --> 00:32:20]  в горящие копчения,
[00:32:20 --> 00:32:22]  что рыбу, что мясо приходит,
[00:32:22 --> 00:32:22]  проходят при температуре,
[00:32:22 --> 00:32:24]  при 61-й 70-й.
[00:32:24 --> 00:32:27]  Если мы говорим про бытовое копчение,
[00:32:27 --> 00:32:29]  условно, то что делают рыстарана,
[00:32:29 --> 00:32:34]  то что делают люди в себя надачие,
[00:32:34 --> 00:32:37]  это в копчении вот 180-й градусов.
[00:32:37 --> 00:32:40]  Цвет там берется уже за 5-7 минут.
[00:32:40 --> 00:32:42]  Там очень легко перекоптить.
[00:32:42 --> 00:32:45]  Там очень важно, чтобы там вовремя снять,
[00:32:45 --> 00:32:47]  чтобы не было совсем чернины,
[00:32:47 --> 00:32:48]  то есть нужно понимать,
[00:32:48 --> 00:32:50]  что если продукт перекупчен, это брак.
[00:32:50 --> 00:32:52]  Это не показатель того,
[00:32:52 --> 00:32:53]  что это офигенная,
[00:32:53 --> 00:32:56]  там натуральной копченной продукт,
[00:32:56 --> 00:32:59]  что это настоящая копчение нет.
[00:32:59 --> 00:33:00]  Если получится шканцелно,
[00:33:00 --> 00:33:04]  то есть зачем вы кушать избыточное количество консорогенов,
[00:33:04 --> 00:33:08]  в инъекте, это брак технологический.
[00:33:08 --> 00:33:10]  Ну, кто коптить,
[00:33:10 --> 00:33:11]  в общем-то не умеет,
[00:33:11 --> 00:33:13]  то он ожидает, что это фишка.
[00:33:13 --> 00:33:14]  То есть кто не умеет бороться с браком,
[00:33:14 --> 00:33:16]  то говорит, что брак это фишка.
[00:33:16 --> 00:33:18]  Вот тоже будет аккуратнее с этим.
[00:33:19 --> 00:33:20]  Соответственно,
[00:33:20 --> 00:33:23]  если мы коптим при высокотемператоре,
[00:33:23 --> 00:33:25]  если бы мы с ворабатывается,
[00:33:25 --> 00:33:28]  при не контролируем этиператоре,
[00:33:28 --> 00:33:30]  в этом случае, в дыме огромное количество
[00:33:30 --> 00:33:32]  всех их негативных компонентов изникает,
[00:33:32 --> 00:33:36]  которые мы в первых могут придать кислоту
[00:33:36 --> 00:33:37]  на нашем продукту.
[00:33:37 --> 00:33:40]  Мы могут придать более того.
[00:33:40 --> 00:33:42]  Например, я вот когда попробовал в ресторане
[00:33:42 --> 00:33:43]  с Кумблюгорьевичем,
[00:33:43 --> 00:33:45]  в общем, которые мне приготовили за 20 минут.
[00:33:45 --> 00:33:49]  На языке не менее,
[00:33:49 --> 00:33:51]  даже ощущалось.
[00:33:51 --> 00:33:53]  Избудшенная количества было муровины,
[00:33:53 --> 00:33:55]  эти слоты, в этом дыме,
[00:33:55 --> 00:33:56]  и в этом продукте соввестно.
[00:33:56 --> 00:33:58]  И там вылещаться лыгатом понятно,
[00:33:58 --> 00:34:00]  в от которого реально не был язык.
[00:34:00 --> 00:34:03]  Поэтому такую бы продукт я бы не рекомендовал купотриблению.
[00:34:03 --> 00:34:05]  Вот.
[00:34:05 --> 00:34:07]  Профессиональных коптилях камерах
[00:34:07 --> 00:34:10]  у всех контролируется так или иначе,
[00:34:10 --> 00:34:11]  температура дыма образования.
[00:34:11 --> 00:34:15]  И всегда мы стремимся к минимизации этой температуры.
[00:34:15 --> 00:34:18]  Потому что чем меньше температура,
[00:34:18 --> 00:34:22]  тем эффективнее у нас вырабатывает с дым
[00:34:22 --> 00:34:26]  и тем меньше негативных элементов попадают в дым
[00:34:26 --> 00:34:28]  и попадаются от веста у нас в продукт.
[00:34:28 --> 00:34:31]  Еще не мылаживая важный фактор.
[00:34:31 --> 00:34:37]  Если у нас высокотемператорное образование дыма происходит,
[00:34:37 --> 00:34:41]  то у нас, по сути, згаряют те компоненты дыма,
[00:34:41 --> 00:34:44]  которые приносит основную аромат.
[00:34:44 --> 00:34:49]  И у нас, например, есть стенд, специальный,
[00:34:49 --> 00:34:53]  где у нас есть возможность регулировать температуру дыма образования
[00:34:53 --> 00:34:58]  и мы замеряем непосредственно температуру в области пленя щипы.
[00:34:58 --> 00:35:00]  И самый классный дым получается в том случае,
[00:35:00 --> 00:35:04]  если эти имкоратура в области пленя порядка 410 градусов.
[00:35:04 --> 00:35:10]  Он получается в общем-то самый такой густой и ароматный.
[00:35:10 --> 00:35:14]  Но еще более ароматный дым у нас получается на африкционном дымы генераторе
[00:35:14 --> 00:35:16]  в 15 автоматизированном.
[00:35:16 --> 00:35:20]  Где мы также имеем возможность контролировать температуру дыма образования,
[00:35:20 --> 00:35:22]  но там она у нас еще не ежа.
[00:35:22 --> 00:35:28]  На самом-то от 2929 до 3550 градусов.
[00:35:28 --> 00:35:35]  А самый классный дым у нас получается на границе восплумение древесины.
[00:35:36 --> 00:35:39]  Здесь может быть чуть-чуть остановлюсь на...
[00:35:40 --> 00:35:44]  научным подходе к получению дыма.
[00:35:44 --> 00:35:49]  Мы читали там различные книги, когда разбирались с этими с этими вопросом.
[00:35:49 --> 00:35:54]  И в наш настоленный книга нашей это курку, основы копчения.
[00:35:54 --> 00:35:58]  И там прям приводится эти температуры приводятся.
[00:35:58 --> 00:36:04]  Мы много тестировали получение дыма грязных температурах.
[00:36:04 --> 00:36:13]  Пришли к выводу, что идеальный дым, например, для деликатесной продукции,
[00:36:13 --> 00:36:17]  получается, при температуре порядка 300 градусов.
[00:36:17 --> 00:36:23]  В этом случае дым сам по себе дым не имеет етких лоток.
[00:36:23 --> 00:36:28]  И он добавляет определенную ароматику продукту.
[00:36:28 --> 00:36:30]  Он не перебивает вкус самого продукта.
[00:36:30 --> 00:36:34]  И получается, он получается такой особый спец.
[00:36:34 --> 00:36:38]  По сути, и получается очень интересный вкус.
[00:36:38 --> 00:36:41]  Если мы говорим про традиционные продукты,
[00:36:41 --> 00:36:46]  там свини на селетка или кулица,
[00:36:46 --> 00:36:50]  то там мы, когда дым используют дым с большим сборим высокой температуре,
[00:36:50 --> 00:36:52]  он 15 градусов.
[00:36:52 --> 00:36:54]  Это дыма самая приближен в щиповому.
[00:36:54 --> 00:37:00]  Когда ваш клиент будет пробовать такой продукт,
[00:37:00 --> 00:37:03]  он будет максимально соответствовать его ожидания.
[00:37:04 --> 00:37:05]  Вот.
[00:37:05 --> 00:37:07]  Значит, первое отличие.
[00:37:07 --> 00:37:10]  Если бы он у него шканоза, первое отличие на профессиональных камер,
[00:37:10 --> 00:37:13]  в том, что у вас дым получается гораздо более чистый.
[00:37:13 --> 00:37:16]  С минимальным содержанием негативных компонентов,
[00:37:16 --> 00:37:18]  если мы говорим про фрикционные дымы генерата,
[00:37:18 --> 00:37:21]  там консорогенных веществ нет вообще.
[00:37:21 --> 00:37:24]  Потому что температура дыма образования не достигает в уровне,
[00:37:24 --> 00:37:26]  когда создается консорогены.
[00:37:26 --> 00:37:31]  Диост четвертым годом создавали первый наш тест на анализ.
[00:37:31 --> 00:37:32]  У нас есть такая желтая бумажка,
[00:37:32 --> 00:37:35]  с урава, побдит шавшими краями.
[00:37:35 --> 00:37:39]  И там приводит приводит в результаты тестирования.
[00:37:39 --> 00:37:45]  В чем он побелом написано, что уровень консорогена в копченном продукте,
[00:37:45 --> 00:37:50]  на фрикционном дыме не превышает уровне консорогена в первоначальном сыре.
[00:37:50 --> 00:37:52]  Значально нам даже не верили, что это по-настоящему копченную рыбу,
[00:37:52 --> 00:37:54]  думали, что она крашная.
[00:37:54 --> 00:37:56]  Но нет, она по-настоящему копченная,
[00:37:56 --> 00:38:00]  она с настоящим ароматом дыма, но она без консорогена.
[00:38:00 --> 00:38:04]  Потому что основные компоненты дыма содержатся в ледения,
[00:38:04 --> 00:38:08]  которую у нас развлогается на ароматные компоненты,
[00:38:08 --> 00:38:13]  при температуре порядка двухстодивеноста градусов.
[00:38:13 --> 00:38:16]  У двухстодивеноста до 33040 градусов.
[00:38:17 --> 00:38:23]  И если останется на следующем важном отличии в бытовых коптилен
[00:38:23 --> 00:38:28]  от профессиональных коптилен, это наличие угостого эффективного пара.
[00:38:28 --> 00:38:38]  В нашей камере реальная права происходит при честной влажности 90-94%
[00:38:38 --> 00:38:42]  при температуре в камере 85 градусов.
[00:38:42 --> 00:38:44]  Это максимальный параметр влажности,
[00:38:44 --> 00:38:48]  который доступен сейчас в термокамер.
[00:38:50 --> 00:38:55]  Добиваемся мы этого несколькими техническими умовками.
[00:38:55 --> 00:38:58]  На этом я подробнее остановлюсь, когда мы переведем в самый камере.
[00:38:58 --> 00:39:07]  Вот мы сама поорогенерация и является ключевым процессом при приготовлении продукции.
[00:39:07 --> 00:39:11]  Потому что именно от нее зависит в первых скорость приготовления.
[00:39:11 --> 00:39:16]  В этом продукте, чем выше у нас сложность, тем быстрее мы достигаем температуры внутри продукта.
[00:39:16 --> 00:39:21]  Наши божделенные 70 градусов, и тем меньше веса.
[00:39:21 --> 00:39:29]  Мы потеряем нашего продукта тем меньше электронергии, мы спали.
[00:39:29 --> 00:39:31]  Мишили электронергии, мы потратим.
[00:39:31 --> 00:39:34]  Тем более, вентабельно будет наш бизнес.
[00:39:34 --> 00:39:37]  Поэтому именно пара генерация является ключевым фактором,
[00:39:37 --> 00:39:41]  при создании продукции Варемокопченой,
[00:39:41 --> 00:39:44]  практически 95% продукции в семье,
[00:39:44 --> 00:39:46]  которые производят сегодня на рынке.
[00:39:46 --> 00:39:50]  Это продукция именно Варемокопчену производства.
[00:39:55 --> 00:39:58]  В бытовых коптильных вывод, такого не встретите.
[00:39:58 --> 00:39:59]  Если...
[00:40:00 --> 00:40:01]  Сейчас я сфонкуну.
[00:40:04 --> 00:40:05]  Если...
[00:40:05 --> 00:40:11]  Взять на померки дабатровые коптильные, которые примендуют,
[00:40:11 --> 00:40:15]  в них скоптить, проварить на прервка струле.
[00:40:15 --> 00:40:18]  Сразу можно понимать, что это как бы некаком профессионализм,
[00:40:18 --> 00:40:19]  и речь не идет.
[00:40:19 --> 00:40:20]  Потому что при проварке вкастывали,
[00:40:20 --> 00:40:27]  у вас будет будут выводиться питательные и вкусовые компоненты продукции.
[00:40:27 --> 00:40:30]  И, соответственно, что вы получите на выходе,
[00:40:30 --> 00:40:35]  не совсем то, очень, уже дает ваш клиент.
[00:40:37 --> 00:40:38]  Значит,
[00:40:40 --> 00:40:42]  ну и не маловажно, когда вы, например,
[00:40:42 --> 00:40:47]  когда он предлагается в одной камере копите в кастрюле вовить,
[00:40:47 --> 00:40:50]  а как он может профессионализм процессе приготовления,
[00:40:50 --> 00:40:54]  а более-менее понятного объема, может, и т.е.
[00:40:54 --> 00:40:59]  Вот, ну и последний, но не маловажный,
[00:40:59 --> 00:41:04]  не менее важный фактор, отличие от личья бытовой коптильный от профессиональной,
[00:41:04 --> 00:41:06]  это повторяемость качества продукции.
[00:41:06 --> 00:41:11]  Там чуть ли не каждый второй, когда я сам сидел у телефона и продавал свои камеры,
[00:41:11 --> 00:41:16]  чуть ли не каждый второй, человек, который изначально занимался копчением на дадовых камерах.
[00:41:16 --> 00:41:21]  И искал на профессиональную камеру, говорил, что в общем-то у него получается
[00:41:21 --> 00:41:26]  добиваться неплохого качества, но проблемы имена в повторяемости.
[00:41:26 --> 00:41:32]  И ему очень важно, чтобы, если вы, например, клиент один раз порадовали в кустной колбаской,
[00:41:32 --> 00:41:35]  чтобы в следующий раз колбаску была такая же.
[00:41:35 --> 00:41:38]  Потому что он будет ожидать имена такого же содержания соли,
[00:41:38 --> 00:41:42]  такое уже копчение, такое уже цвета, так уж там диаметра.
[00:41:42 --> 00:41:45]  Все хотят в момент, очень важно имена повторяемость продукции.
[00:41:45 --> 00:41:49]  И, например, если мы говорим про бытовую коптильную,
[00:41:49 --> 00:41:51]  то там портезан заветел.
[00:41:53 --> 00:41:58]  Если мы говорим про бытовую коптильную, за мне какой повторяемость,
[00:41:58 --> 00:42:03]  и речь будет не может, вот у вас каждый раз будет как бы к нам дышу положит.
[00:42:03 --> 00:42:08]  Вот, если мы говорим про полу автоматическую коптильную, которому то есть и же за 15.
[00:42:08 --> 00:42:15]  А повторяемость будет максимальная, но здесь у нас тонкий момент, это коптильщик.
[00:42:15 --> 00:42:16]  Это оператор.
[00:42:16 --> 00:42:20]  Если он в нужный момент, когда у вас за звеннизвановочек не подошел ни разжок,
[00:42:20 --> 00:42:25]  дымогенератор, где-то почистался, где-то от влёкси, где-то еще что-то в этом роде.
[00:42:25 --> 00:42:30]  Вот у вас, соответственно, немного может скакоть качество продукции.
[00:42:30 --> 00:42:34]  Если он сильно отрёкси, соответственно, качество будет скакоть сильно.
[00:42:34 --> 00:42:43]  Если на целево-ци именно на постоянной и выпуск,
[00:42:43 --> 00:42:47]  в стабильный выпуск продукт с стабильного качества,
[00:42:47 --> 00:42:51]  самое лучше повторяно и повторяемость естественно будет в автоматизированной
[00:42:51 --> 00:42:55]  коптильной камереге, где все операции выполняются по нажатю кнопке.
[00:42:55 --> 00:43:00]  Вот, так мы сейчас рассказывали, я сейчас рассказывал про отличие
[00:43:00 --> 00:43:05]  профессиональных камерат до того, и, наверное, мы перейдем с вами
[00:43:05 --> 00:43:12]  к технологическим особенностям именно нашей камера.
[00:43:12 --> 00:43:15]  Когда мне например просит рассказать о другном, в чём именно отличие
[00:43:15 --> 00:43:22]  в вашей камеры от камер конкурентов, и вот аналогов по сути,
[00:43:22 --> 00:43:25]  может быть нескромно будет сказать.
[00:43:25 --> 00:43:33]  Но мы членей единственной компании, которая реально занимается
[00:43:33 --> 00:43:36]  развитием термокамер в отраслере.
[00:43:36 --> 00:43:41]  Есть, например, камера, который маленький, там на 20-30-50 килограмм делают
[00:43:41 --> 00:43:46]  бытовые и пытаются сделать не из них более лимение профессиональной вариант.
[00:43:46 --> 00:43:51]  Вот, ребята, молодцы, там, Павел, Акапкин, тоже неплохая камера,
[00:43:51 --> 00:43:52]  с интересным пара генератером.
[00:43:52 --> 00:43:57]  Там в виде льбунгом с мокер, тоже сейчас активно выступает на рынке по
[00:43:57 --> 00:43:58]  бутавым камером.
[00:43:58 --> 00:44:01]  Но голну с полки рослишка мусская камера, и я бы из паром на множеством
[00:44:01 --> 00:44:03]  могут вопросы.
[00:44:03 --> 00:44:09]  Вот, соответственно, но с точки зрения, например, именно профессиональных
[00:44:09 --> 00:44:13]  небольших камер на 100 килограмм, таки, но мы по сути конкурентцей
[00:44:13 --> 00:44:17]  особой не ощущаем, потому что никто не развивается.
[00:44:17 --> 00:44:19]  Все, в общем-то, продают камеры, которые были произведены
[00:44:19 --> 00:44:26]  30-40 лет назад, в общем-то, и никаких нового ведения не
[00:44:26 --> 00:44:27]  не цируют.
[00:44:27 --> 00:44:31]  У нас эта камера при темпе уже порядка 15 различных версий,
[00:44:31 --> 00:44:36]  мы каждые 3-4 месяцев вносим пол до работок, потому что мы
[00:44:36 --> 00:44:40]  постоянно общаемся с нашими клиентами, постоянно сами
[00:44:40 --> 00:44:41]  коптим.
[00:44:41 --> 00:44:43]  Я сам лежу на запуске оборуду, и до сих пор.
[00:44:43 --> 00:44:48]  Далеко не на каждой, но какие-то ключи вы, с учимыми клиентами, когда
[00:44:48 --> 00:44:51]  мне со мной интересно разобраться с некоторыми технологическими
[00:44:51 --> 00:44:56]  моментами, может быть, особый продукт, мы по стоянным нацеленным
[00:44:56 --> 00:44:59]  то, чтобы собирать обратную связь и обрабатывать лабротную
[00:44:59 --> 00:45:00]  связь.
[00:45:00 --> 00:45:04]  Здесь можно стоить, я, но, изначально, останнился
[00:45:04 --> 00:45:07]  на том, что девис нашей компании, что коптильщик или
[00:45:07 --> 00:45:11]  человек, который работает с нашей с нашим оборудовании, должен
[00:45:11 --> 00:45:13]  коптить, а не страдать.
[00:45:13 --> 00:45:17]  То есть, он должен быть должны как инженеры максимально
[00:45:17 --> 00:45:21]  подумать об эператере, для того, чтобы те вопросы, которые
[00:45:21 --> 00:45:24]  можно решить в восторонние инженера, чтобы были решены
[00:45:24 --> 00:45:25]  заранее.
[00:45:25 --> 00:45:27]  Если об этом можно подумать заранее, мы об этом подумаем
[00:45:27 --> 00:45:28]  заранее.
[00:45:28 --> 00:45:30]  Когда, ну, люди говорят, все хорошо.
[00:45:30 --> 00:45:32]  Но вот эту штучку можно было бы доработать.
[00:45:32 --> 00:45:35]  Я говорю, спасибо большое, потому что мы это обычно
[00:45:35 --> 00:45:36]  обязательно учтим.
[00:45:36 --> 00:45:40]  Вот в следующей версии, как бы вам может быть, вычастен какой-то
[00:45:40 --> 00:45:41]  заглушку, и еще что-нибудь.
[00:45:41 --> 00:45:47]  Но обычно там очень минорный, небольшие нюансы такие возникают,
[00:45:47 --> 00:45:50]  которые, ну, просто нужно учесть, которые, как-то,
[00:45:50 --> 00:45:54]  облегче работу, вот основные, конечно, есть какие-то доработки
[00:45:54 --> 00:45:55]  нужны.
[00:45:55 --> 00:46:00]  И, сами, и, в общем-то, сейчас, по заслуженно, я
[00:46:00 --> 00:46:03]  янградоржусь этой камеры, потому что он получился сильно
[00:46:03 --> 00:46:06]  классное, и она решает большое количество технологических
[00:46:06 --> 00:46:10]  моментов, а как именно я сейчас расскажу по-дробнее.
[00:46:10 --> 00:46:11]  Давай на перенестиемся поближе.
[00:46:11 --> 00:46:16]  Самое камеры мы сейчас находимся в нашем плестом цехуд.
[00:46:16 --> 00:46:20]  Вот здесь, у нас камера, которая отработал уже порядка
[00:46:20 --> 00:46:23]  4 клет, мы на ней коптим.
[00:46:23 --> 00:46:27]  Вот отрабатываем различные процедуры технологии, вот
[00:46:27 --> 00:46:29]  вот такой вот так вот углитрам, и на которой продукция
[00:46:29 --> 00:46:31]  зататывается непосредственно.
[00:46:31 --> 00:46:36]  В саму камеру вот вкратце, продукция развешивается, вот на таких
[00:46:36 --> 00:46:40]  вот, алиминиевых мешалах.
[00:46:40 --> 00:46:42]  И вот таких вот крючках.
[00:46:42 --> 00:46:46]  Здесь вариант в обвязке, всё это дело развешивать непосредственно
[00:46:46 --> 00:46:48]  алиминиевые вешала без крючков.
[00:46:48 --> 00:46:52]  И своя вариант вот таким вот обвязан, всё кладут, вот так вот развешивать.
[00:46:52 --> 00:46:55]  Вот, вот это вот.
[00:46:55 --> 00:46:56]  Вот так вот.
[00:46:56 --> 00:46:59]  Вот так вот.
[00:46:59 --> 00:47:00]  Вот так вот.
[00:47:00 --> 00:47:05]  Вот так же у нас есть сетчики, тут разные.
[00:47:05 --> 00:47:08]  Вот так вот.
[00:47:08 --> 00:47:09]  Вот так вот.
[00:47:09 --> 00:47:24]  И продукция вкладывается вот на яфет.
[00:47:24 --> 00:47:25]  Эрешотчики.
[00:47:25 --> 00:47:29]  Так, вкратце по поводу камеры ее отлично.
[00:47:35 --> 00:47:44]  Значит, как обещал, расскажу, кто как мы добиваемся,
[00:47:44 --> 00:47:48]  высокую плотность и парах, непосредственно в самой камере.
[00:47:48 --> 00:47:50]  Саш подойдет, пожалуйста, поближе.
[00:47:50 --> 00:47:52]  Давай, покажем.
[00:47:52 --> 00:47:55]  А тут мы решили подойдяшники.
[00:48:05 --> 00:48:19]  Сунь готов?
[00:48:19 --> 00:48:21]  Малька.
[00:48:38 --> 00:48:44]  Есть несколько факторов, которые важны при пара образования.
[00:48:44 --> 00:48:48]  Как пар образуется лутериками?
[00:48:48 --> 00:48:52]  В любой камере подобного вода.
[00:48:52 --> 00:48:59]  Значит, за дистает клапан, который регулирует подачи воды в лутерикамеры.
[00:48:59 --> 00:49:04]  Контролер регулирует клапан и открывает лутериками.
[00:49:04 --> 00:49:06]  До длине отходимого повышения.
[00:49:06 --> 00:49:11]  Значит, тамthree verзумка.
[00:49:11 --> 00:49:16]  В форсунка он оulum получит и на обратную кричатку.
[00:49:16 --> 00:49:21]  На стоит две кричатки.
[00:49:21 --> 00:49:26]  Без Bowl, в другом этапа,ska,ка.
[00:49:26 --> 00:49:30]  И на задней части кричат при彼отах на кричатке.
[00:49:30 --> 00:49:35]  Отличая за то, чтобы дым не попадал наружу,
[00:49:35 --> 00:49:38]  с одной стороны, чтобы правильно разбивать
