[00:00:00 --> 00:00:10]  А свая метеормакамеру.
[00:25:22 --> 00:25:27]  Колбаску, чтобы она не сухла лишний раз в коллых холодильной камере,
[00:25:28 --> 00:25:30]  укладываем в ящике и накрываем.
[00:25:31 --> 00:25:33]  Пусть она там созревает дальше.
[00:25:45 --> 00:25:53]  Терма-бработку, местных деликатесов и куриций мы выполнили уже автоматическом режиме,
[00:25:54 --> 00:25:56]  не открывая камеру, не проверяя.
[00:25:57 --> 00:26:00]  Доверились автоматики, она нас не подвела.
[00:26:01 --> 00:26:04]  Свет очень хороший, равномерный, беспятен,
[00:26:05 --> 00:26:10]  проварка относительно показаний, датчик от температуры тоже.
[00:26:11 --> 00:26:13]  Выполняем на в пределах нормы,
[00:26:14 --> 00:26:18]  а внутри куска, составляет 72 градусов.
[00:26:21 --> 00:26:23]  Мехка, мягкая.
[00:26:24 --> 00:26:26]  Размехчила, нормально, проморилась, а?
[00:26:28 --> 00:26:30]  Надо, чтобы она была.
[00:26:31 --> 00:26:35]  И, как всегда, не давда же продукции.
[00:26:35 --> 00:26:39]  Хочется, её попробовать, хочется просто ловить и луги,
[00:26:40 --> 00:26:47]  лоды, своих room почувствовать.
[00:26:58 --> 00:27:02]  Свет красивый, видченные, не как раз мало, ни с суой, ни какицироваться.
[00:27:02 --> 00:27:04]  Чистейшие мясо.
[00:27:04 --> 00:27:06]  Все каждый кусочек мясо видно.
[00:27:13 --> 00:27:15]  Часно-чал тут, да?
[00:27:15 --> 00:27:17]  И немножко.
[00:27:17 --> 00:27:21]  Немножко добавили, так, чтобы не такой скучный вкус был.
[00:27:21 --> 00:27:23]  Ну-ну.
[00:27:24 --> 00:27:26]  Приколенька.
[00:27:32 --> 00:27:34]  Нужно, чтобы я не знаю.
[00:27:34 --> 00:27:36]  Она вкусная.
[00:27:36 --> 00:27:38]  Она все.
[00:27:38 --> 00:27:40]  Она все.
[00:27:40 --> 00:27:42]  Я не нужна хотя бы сутки.
[00:27:42 --> 00:27:43]  Нито.
[00:27:43 --> 00:27:44]  Не то.
[00:27:44 --> 00:27:45]  Я не знаю.
[00:27:50 --> 00:27:52]  Так, как воженка.
[00:27:52 --> 00:27:53]  Женка.
[00:27:53 --> 00:27:54]  Ну, это точно.
[00:27:54 --> 00:27:55]  Да, и вот потом, так.
[00:27:55 --> 00:27:57]  И шея вырезал.
[00:27:57 --> 00:27:58]  Ну, не видно.
[00:27:58 --> 00:27:59]  Так.
[00:27:59 --> 00:28:00]  Так.
[00:28:02 --> 00:28:03]  Топонол.
[00:28:03 --> 00:28:04]  Можем уже?
[00:28:04 --> 00:28:05]  Да, иди.
[00:28:05 --> 00:28:07]  Ну, как же без небеза?
[00:28:07 --> 00:28:09]  Не подчипись.
[00:28:09 --> 00:28:11]  Это.
[00:28:17 --> 00:28:19]  Солина, нормально?
[00:28:19 --> 00:28:20]  Да.
[00:28:20 --> 00:28:21]  Нормально, соли, да?
[00:28:21 --> 00:28:22]  Хорошо.
[00:28:22 --> 00:28:23]  Вкус.
[00:28:23 --> 00:28:24]  Ничего так.
[00:28:24 --> 00:28:28]  Ну, это лучше.
[00:28:28 --> 00:28:29]  Ну, хорошо.
[00:28:35 --> 00:28:37]  Мне кажется, будет классно.
[00:28:37 --> 00:28:38]  Да.
[00:28:38 --> 00:28:39]  Вот, как будет.
[00:28:47 --> 00:28:50]  Готово партия охотничих колбасок.
[00:28:50 --> 00:28:53]  Она также варилась в автоматическом режиме.
[00:28:53 --> 00:28:55]  Ну, какой смысл?
[00:28:55 --> 00:29:00]  Плотить деньги за автоматическую камеру и потом в ручном режиме
[00:29:00 --> 00:29:01]  пользоваться ей.
[00:29:01 --> 00:29:03]  Лучше уже сразу задать программу.
[00:29:03 --> 00:29:07]  И заниматься спокойно, какими-то другими делами.
[00:29:07 --> 00:29:08]  А камера все сделает.
[00:29:08 --> 00:29:13]  Она подсушит, потом обжарит, под коптит, потом отварит,
[00:29:13 --> 00:29:17]  потом может продушировать, если нужно.
[00:29:17 --> 00:29:20]  И колбаса будет готово.
[00:29:20 --> 00:29:24]  Ну, в нашем варианте есть есть есть есть есть.
[00:29:24 --> 00:29:26]  автоматическое душирование.
[00:29:26 --> 00:29:28]  Но мы душируем на улице.
[00:29:28 --> 00:29:31]  Так, так, так, так, так.
[00:29:31 --> 00:29:37]  Вообще говоря, что-то в этой процедуре есть такое очень приятно.
[00:29:37 --> 00:29:41]  На самом деле можно было бы в камере продушировать.
[00:29:41 --> 00:29:45]  Но почему-то нравится поливать ее из душа.
[00:29:45 --> 00:29:49]  На свежем воздух, вот так, как в обасках вроде как радовали.
[00:29:49 --> 00:29:52]  Когда ее поливаешь холодильника и водичкой.
[00:29:52 --> 00:29:55]  Колбаска приготовлена из чистого мяса.
[00:29:55 --> 00:29:58]  Разрез ее такой.
[00:29:58 --> 00:30:02]  На разрезе она красивая, плотная, очень хрустящая,
[00:30:02 --> 00:30:04]  немножко на зубах.
[00:30:04 --> 00:30:07]  Здесь вообще говеденая и баранинаврица в тури.
[00:30:07 --> 00:30:09]  Это видно на разрезе по окраске.
[00:30:09 --> 00:30:12]  Фарш хорошо связан.
[00:30:12 --> 00:30:14]  Этот продукт нам удалось.
[00:30:14 --> 00:30:17]  Прокция сиорбучения.
[00:30:17 --> 00:30:21]  Крайне полезно помесить фарш руками.
[00:30:21 --> 00:30:24]  Путя руки и мёртнут, потому что он холодный.
[00:30:24 --> 00:30:29]  Но по-месить его руками, руками почувствовать, как он загустевает,
[00:30:29 --> 00:30:31]  какая у него консистенция.
[00:30:31 --> 00:30:38]  Как он становится более жидким, когда наливаем туда немножко воды для сочности.
[00:30:38 --> 00:30:42]  Как ведет себя различная мяса.
[00:30:42 --> 00:30:47]  Свините, ведет себя так, говеден на подругом баранин.
[00:30:47 --> 00:30:49]  И еще как-то все.
[00:30:49 --> 00:30:54]  Когда человек пропускает через руки, потом ему намного легче работать.
[00:30:54 --> 00:30:56]  Он уже знает.
[00:30:56 --> 00:30:59]  И даже когда фарш врачается в мешалке,
[00:30:59 --> 00:31:02]  мешалка месяц его механическим способом.
[00:31:02 --> 00:31:06]  Это очень много и много,
[00:31:06 --> 00:31:08]  а потом пропустив.
[00:31:08 --> 00:31:13]  Он уже по-опыту знает, как еще помесить не затирает ли фарш мешалка,
[00:31:13 --> 00:31:16]  потому что если мешалки, такие дешевенькие,
[00:31:16 --> 00:31:19]  не очень хорошие, не плотно лопости.
[00:31:19 --> 00:31:21]  Пролегает консистенка.
[00:31:21 --> 00:31:23]  Там происходит затирание.
[00:31:23 --> 00:31:26]  Фарш врачается бельосы, не очень хороший.
[00:31:26 --> 00:31:29]  Эти руками очень полезно пора.
[00:31:30 --> 00:31:33]  Много и многое стоевских.
[00:31:33 --> 00:31:35]  Я понял.
[00:31:35 --> 00:31:40]  Хороший технологический принём, который позволяет из одного и того же фарша
[00:31:40 --> 00:31:43]  получить две совершенно разные колгосы.
[00:31:43 --> 00:31:48]  В начале мычать фарша, что видели, она будет просто мясная.
[00:31:48 --> 00:31:50]  А вот это сыром.
[00:31:50 --> 00:31:55]  Дальше с каким сыром сырой, этот фрегатовлен на собственной сыроварни.
[00:31:55 --> 00:31:59]  В принципе, мясо тоже от своих вычков.
[00:31:59 --> 00:32:04]  Это колбаса, наверное, сказать, что колбаса примен,
[00:32:04 --> 00:32:06]  мы ничего не сказать.
[00:32:06 --> 00:32:11]  Это действительно высшего уровня перекатого исполнения.
[00:32:11 --> 00:32:15]  Посмотрим, вот на сущение.
[00:32:15 --> 00:32:25]  Ну что?
[00:32:25 --> 00:32:34]  Ну всё замешивай.
[00:32:35 --> 00:32:41]  Ну что?
[00:32:41 --> 00:32:44]  На полнеем шприц.
[00:32:44 --> 00:32:47]  Шприц нужно наполнять аккуратно.
[00:32:47 --> 00:32:51]  Притрамбовывать фарш, чтобы поменьше воздуха было в нём.
[00:32:51 --> 00:32:56]  Будет колбаска поплотнее, не будет таких пор.
[00:32:57 --> 00:33:00]  Ну его можно уже самолетом выбрасывать.
[00:33:00 --> 00:33:04]  Ты у врага, а я вам там всех на форме колбасы.
[00:33:04 --> 00:33:10]  На цивку шприца надевается натуральная свина черева колибр,
[00:33:10 --> 00:33:15]  30-34-36 мм.
[00:33:15 --> 00:33:20]  натуральная черева и наполненная натуральная фарша,
[00:33:20 --> 00:33:23]  без всякой химии, без добавок.
[00:33:23 --> 00:33:27]  Так как раз, то, что сейчас больше всего у вас требована.
[00:33:27 --> 00:33:30]  Люди устали от химической пищи.
[00:33:30 --> 00:33:34]  Кончик завязывается и начинается набивка.
[00:33:34 --> 00:33:38]  Ручка шприца вращается, не очень быстро.
[00:33:38 --> 00:33:41]  И равномерная происходит набивка.
[00:33:41 --> 00:33:43]  Давай я сейчас посмотрю, как набивка.
[00:33:43 --> 00:33:45]  Давай давай.
[00:33:45 --> 00:33:48]  Так вот примерно такстоф.
[00:33:48 --> 00:33:52]  Набивка должна быть примерно такой, что ты в любом месте,
[00:33:52 --> 00:33:54]  можно передавить.
[00:33:54 --> 00:33:55]  А тут же.
[00:33:55 --> 00:33:56]  Немаешь?
[00:33:56 --> 00:33:58]  Вот такая набивка.
[00:33:58 --> 00:34:01]  Слабая она не должна быть, но плотно и тоже не включая.
[00:34:01 --> 00:34:02]  Давай.
[00:34:06 --> 00:34:08]  Может, побываю в черашке быстрее крыль?
[00:34:08 --> 00:34:11]  Я вчера ты помогал.
[00:34:11 --> 00:34:14]  А потом уже нож была, но тут надо быстрее.
[00:34:14 --> 00:34:16]  Посплатить.
[00:34:16 --> 00:34:17]  Давай давай не боюсь.
[00:34:19 --> 00:34:23]  Так, по-настоящему, можно и раза в три быстрее крутить.
[00:34:23 --> 00:34:26]  В контр-то дверь.
[00:34:26 --> 00:34:27]  Что уже?
[00:34:27 --> 00:34:29]  Хорошо контролирует.
[00:34:29 --> 00:34:32]  Ну, пишите, а уже стандарт идёт нормально.
[00:34:32 --> 00:34:34]  Какая.
[00:34:46 --> 00:34:48]  Кассё.
[00:34:48 --> 00:34:50]  Болочек.
[00:34:50 --> 00:34:51]  Болочек.
[00:34:57 --> 00:35:00]  Крупно-фракционный фарш для вечены.
[00:35:00 --> 00:35:02]  Так что, что ты тоже вымешиваем руками,
[00:35:02 --> 00:35:04]  так как его немного.
[00:35:04 --> 00:35:07]  Чтобы не загружать мешалку.
[00:35:07 --> 00:35:09]  Мы вымешиваем его руками.
[00:35:09 --> 00:35:12]  Ну, и за одно такое вот упражнение,
[00:35:12 --> 00:35:14]  чтобы почувствовать его консистенцию.
[00:35:14 --> 00:35:17]  Опять-таки тут нет.
[00:35:17 --> 00:35:19]  Сои, не крохмала, ничего.
[00:35:19 --> 00:35:20]  С мясо.
[00:35:20 --> 00:35:22]  От своей скотины.
[00:35:22 --> 00:35:24]  Выдержанное.
[00:35:24 --> 00:35:25]  Вызрившие.
[00:35:25 --> 00:35:27]  Надо очень плотно укладывать формы.
[00:35:27 --> 00:35:30]  И, без пустот, очень плотно.
[00:35:30 --> 00:35:32]  Да, да, да, да, да, вот вибил.
[00:35:32 --> 00:35:35]  И следующую укладываю плотно.
[00:35:35 --> 00:35:37]  Закладываю, ты до хоро.
[00:35:37 --> 00:35:39]  Вес, приблизительно.
[00:35:39 --> 00:35:42]  Ничего не получается в них.
[00:35:42 --> 00:35:44]  Уколо двух килограммов.
[00:35:44 --> 00:35:45]  Так и ботожны.
[00:35:48 --> 00:35:50]  Полняется формы.
[00:35:50 --> 00:35:51]  Тотно утром было.
[00:35:51 --> 00:35:53]  Не желательно, чтобы попадал воздух,
[00:35:53 --> 00:35:55]  между между кусками мясо.
[00:35:55 --> 00:35:58]  Поэтому лучше даже вот постучать, похлопать,
[00:35:58 --> 00:36:01]  обстол формы, что пон вышел этот воздух.
[00:36:01 --> 00:36:04]  Ну и, естественно, дать, поставить.
[00:36:04 --> 00:36:06]  И у меня шусть.
[00:36:06 --> 00:36:08]  Чтобы фарш сам по себе уплотнился,
[00:36:08 --> 00:36:11]  дать ему поставить несколько часов.
[00:36:11 --> 00:36:13]  Холодильная камера при температуре.
[00:36:13 --> 00:36:14]  А от нуля да.
[00:36:14 --> 00:36:16]  Плюс двух.
[00:36:18 --> 00:36:21]  Для того, чтобы куски мясо,
[00:36:21 --> 00:36:23]  между собой хорошо связались, скрелись.
[00:36:23 --> 00:36:27]  Мы обязательно добавляем немножко процентов
[00:36:27 --> 00:36:30]  10 мл. фарша.
[00:36:30 --> 00:36:33]  Тогда между кускочками мясо не будет пустот
[00:36:33 --> 00:36:38]  и продукт будет однородный и красивый, очень наразрези.
[00:36:38 --> 00:36:43]  Для фаршах, чтобы не оставался его.
[00:36:43 --> 00:36:46]  Для приготовления таких крупно-кусковых крупно-структуры,
[00:36:46 --> 00:36:51]  витчим лучше использовать формы с подпражениями крышками.
[00:36:51 --> 00:36:56]  Но у нас такая форм нет, поэтому мы обходимся обычными гастроемкостими.
[00:36:56 --> 00:37:00]  Результат будет не хуже.
